types	p019t	BD_immune10	BD_immune11	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453597	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453590	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S56	Wu_Zhou_2021_GSM4453581	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	BD_immune03	BD_immune04	BD_immune06	BD_immune07	BD_immune09	Wu_Zhou_2021_GSM4453617
Smooth muscle cell	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	7.0	0.0	0.0	31.0	10.0	6.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
T cell CD4	157.0	89.0	451.0	2629.0	1314.0	0.0	159.0	0.0	0.0	1354.0	16.0	277.0	213.0	254.0	485.0	17.0	59.0	941.0	373.0	335.0	325.0	238.0	213.0	268.0	6.0	0.0	14.0	3.0	3.0	926.0	1314.0	506.0	570.0	69.0	57.0	421.0	983.0	398.0	326.0	205.0	70.0
T cell CD4 dividing	2.0	130.0	20.0	194.0	23.0	5.0	0.0	0.0	2.0	34.0	12.0	8.0	0.0	0.0	7.0	0.0	5.0	14.0	7.0	6.0	3.0	0.0	5.0	14.0	2.0	0.0	0.0	0.0	7.0	16.0	17.0	23.0	2.0	9.0	7.0	94.0	69.0	3.0	88.0	126.0	18.0
T cell CD8 activated	87.0	160.0	56.0	168.0	85.0	0.0	7.0	0.0	0.0	39.0	0.0	5.0	2.0	0.0	25.0	0.0	8.0	208.0	5.0	4.0	0.0	3.0	2.0	36.0	0.0	0.0	0.0	0.0	0.0	16.0	44.0	48.0	7.0	6.0	0.0	222.0	362.0	117.0	214.0	86.0	0.0
T cell CD8 dividing	2.0	343.0	7.0	247.0	16.0	2.0	0.0	0.0	0.0	57.0	0.0	14.0	6.0	14.0	32.0	0.0	0.0	28.0	31.0	36.0	12.0	27.0	11.0	7.0	4.0	0.0	0.0	0.0	11.0	10.0	32.0	47.0	4.0	2.0	4.0	205.0	77.0	2.0	14.0	296.0	10.0
T cell CD8 effector memory	58.0	1332.0	541.0	3099.0	632.0	2.0	45.0	0.0	0.0	1516.0	0.0	255.0	34.0	40.0	317.0	9.0	65.0	1063.0	257.0	272.0	204.0	107.0	176.0	159.0	6.0	0.0	41.0	0.0	5.0	648.0	803.0	410.0	174.0	145.0	62.0	1529.0	1837.0	1262.0	236.0	648.0	39.0
T cell CD8 naive	4.0	0.0	3.0	75.0	33.0	0.0	3.0	0.0	0.0	30.0	0.0	91.0	93.0	64.0	42.0	0.0	0.0	54.0	21.0	64.0	9.0	34.0	27.0	26.0	0.0	0.0	5.0	0.0	0.0	39.0	138.0	82.0	53.0	0.0	0.0	3.0	48.0	6.0	0.0	14.0	21.0
T cell CD8 terminally exhausted	3.0	1204.0	104.0	803.0	110.0	3.0	2.0	0.0	0.0	881.0	0.0	217.0	22.0	18.0	268.0	0.0	7.0	320.0	320.0	397.0	127.0	151.0	85.0	41.0	8.0	0.0	3.0	0.0	0.0	107.0	564.0	209.0	15.0	11.0	5.0	1428.0	668.0	458.0	34.0	1041.0	39.0
T cell NK-like	12.0	6.0	88.0	188.0	23.0	0.0	21.0	0.0	0.0	11.0	0.0	94.0	81.0	314.0	71.0	12.0	0.0	63.0	59.0	57.0	26.0	40.0	14.0	10.0	3.0	0.0	4.0	0.0	0.0	86.0	122.0	123.0	55.0	0.0	0.0	32.0	220.0	142.0	0.0	98.0	32.0
T cell regulatory	32.0	692.0	150.0	2064.0	880.0	0.0	9.0	0.0	0.0	1410.0	0.0	321.0	13.0	13.0	172.0	0.0	30.0	319.0	150.0	253.0	54.0	92.0	100.0	216.0	8.0	0.0	3.0	0.0	0.0	176.0	615.0	292.0	90.0	25.0	20.0	1069.0	1068.0	232.0	101.0	723.0	69.0
Tumor AT2/1_LUAD	45.0	0.0	155.0	714.0	3.0	6.0	22.0	0.0	2.0	14.0	178.0	7.0	0.0	2.0	189.0	10.0	0.0	91.0	25.0	6.0	5.0	9.0	0.0	3.0	0.0	10.0	0.0	53.0	117.0	9.0	4.0	12.0	8.0	11.0	0.0	90.0	138.0	57.0	523.0	0.0	0.0
Tumor Club/AT2_MSLN	7.0	0.0	3.0	110.0	3.0	3.0	0.0	0.0	0.0	2.0	22.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	39.0	20.0	11.0	0.0	3.0	126.0	0.0	3.0	4.0	0.0	2.0	4.0	0.0	4.0	273.0	42.0	9.0	3.0	10.0	2.0	5.0	0.0	0.0
Tumor LUAD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_EMT	3.0	3.0	0.0	0.0	3.0	47.0	0.0	527.0	248.0	0.0	6417.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11.0	13.0	86.0	50.0	0.0	143.0	0.0	0.0	0.0	3.0	2.0	0.0	23.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	141.0
Tumor LUAD_LUSC_mitotic	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	829.0	0.0	0.0	4828.0	196.0	0.0
Tumor LUAD_MSLN_LUSC	312.0	18.0	0.0	3.0	42.0	114.0	0.0	0.0	11.0	4.0	485.0	315.0	4.0	2.0	617.0	0.0	2.0	26.0	221.0	303.0	290.0	3.0	0.0	14.0	0.0	25.0	0.0	0.0	18.0	693.0	0.0	335.0	14.0	3.0	8.0	4.0	5.0	2.0	4.0	62.0	0.0
Tumor LUAD_ROS1+	268.0	21.0	3.0	29.0	0.0	42.0	6.0	0.0	0.0	8.0	6.0	0.0	371.0	0.0	13.0	3.0	12.0	5.0	0.0	7.0	12.0	0.0	0.0	29.0	3.0	504.0	0.0	12.0	55.0	12.0	11.0	3.0	9.0	14.0	41.0	11.0	5.0	5.0	28.0	2.0	0.0
Tumor LUAD_mitotic	13.0	0.0	0.0	1416.0	0.0	16.0	0.0	0.0	0.0	0.0	27.0	15.0	0.0	0.0	44.0	0.0	0.0	66.0	74.0	32.0	22.0	103.0	4.0	3.0	0.0	7.0	0.0	0.0	0.0	25.0	0.0	16.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Tumor LUSC_LUAD_NE	6.0	186.0	0.0	0.0	5.0	24.0	2.0	0.0	177.0	151.0	12.0	0.0	11.0	79.0	4.0	5.0	8.0	0.0	5.0	8.0	30.0	0.0	2.0	4.0	2.0	118.0	0.0	24.0	43.0	4.0	251.0	7.0	0.0	0.0	0.0	328.0	0.0	0.0	12.0	19.0	11.0
Tumor LUSC_mitotic_NE	4.0	48.0	0.0	2.0	10.0	20.0	2.0	0.0	13.0	16.0	135.0	0.0	34.0	19.0	3.0	0.0	5.0	0.0	10.0	38.0	52.0	0.0	0.0	0.0	5.0	165.0	0.0	3.0	52.0	7.0	174.0	74.0	0.0	0.0	0.0	155.0	0.0	0.0	53.0	13.0	13.0
Tumor NSCLC_mixed	14.0	36.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	65.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	825.0	0.0	3.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	0.0
cDC1	0.0	9.0	8.0	18.0	6.0	0.0	0.0	0.0	0.0	12.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	17.0	8.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	6.0	0.0	3.0	0.0	5.0	0.0	3.0	4.0	0.0	0.0
cDC2	16.0	27.0	29.0	228.0	8.0	2.0	14.0	9.0	3.0	30.0	0.0	42.0	0.0	4.0	29.0	2.0	11.0	50.0	79.0	65.0	55.0	15.0	2.0	181.0	0.0	0.0	0.0	2.0	7.0	39.0	41.0	69.0	80.0	29.0	8.0	57.0	68.0	51.0	54.0	10.0	6.0
myeloid dividing	5.0	26.0	44.0	18.0	0.0	5.0	3.0	10.0	0.0	2.0	0.0	26.0	3.0	0.0	15.0	0.0	3.0	7.0	12.0	13.0	15.0	6.0	0.0	53.0	3.0	23.0	0.0	0.0	9.0	32.0	14.0	26.0	28.0	0.0	5.0	8.0	31.0	25.0	14.0	22.0	0.0
pDC	3.0	48.0	3.0	29.0	3.0	0.0	6.0	0.0	0.0	14.0	0.0	3.0	2.0	4.0	10.0	0.0	6.0	10.0	11.0	2.0	0.0	3.0	0.0	4.0	2.0	0.0	0.0	3.0	4.0	3.0	6.0	64.0	8.0	7.0	7.0	31.0	21.0	24.0	98.0	11.0	4.0
stromal dividing	0.0	3.0	0.0	3.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	19.0	0.0	0.0
