types	Chen_Zhang_2020_NSCLC-1	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	Zilionis_Klein_2019_p6t1	P15_T2	P16_T2	P18_T2	P19_T2	P21_T2	P22_T1	P8_T2	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_BT1376	Zilionis_Klein_2019_p6t2	Kim_Lee_2020_LUNG_T34	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T06	He_Fan_2021_LUAD4	Kim_Lee_2020_LUNG_T30	He_Fan_2021_LUAD3	He_Fan_2021_LUAD2	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T20	He_Fan_2021_LUAD1	Chen_Zhang_2020_NSCLC-7	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-2	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6653_BT1375
Endothelial cell venous	90.0	23.0	29.0	25.0	4.0	0.0	2.0	40.0	0.0	50.0	26.0	3.0	0.0	61.0	2.0	0.0	9.0	28.0	24.0	9.0	17.0	2.0	0.0	2.0	11.0	0.0	9.0	2.0	3.0	2.0	6.0	2.0	19.0	14.0	107.0	24.0	6.0	33.0	86.0	73.0	68.0	34.0	15.0	2.0	67.0	34.0	125.0	29.0	50.0	153.0	3.0
Fibroblast adventitial	0.0	0.0	0.0	0.0	0.0	0.0	11.0	13.0	0.0	9.0	2.0	0.0	0.0	11.0	0.0	0.0	11.0	18.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	32.0	17.0	11.0	2.0	10.0	4.0	2.0	0.0	8.0	5.0	5.0	18.0	39.0	42.0	0.0
Fibroblast alveolar	6.0	4.0	9.0	5.0	0.0	0.0	4.0	0.0	0.0	26.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	9.0	4.0	0.0	0.0	0.0	2.0	3.0	10.0	11.0	54.0	0.0	117.0	284.0	28.0	48.0	23.0	8.0	11.0	0.0	44.0	0.0	12.0	13.0	141.0	20.0	0.0
Fibroblast peribronchial	0.0	19.0	13.0	20.0	0.0	0.0	5.0	48.0	0.0	16.0	9.0	0.0	0.0	529.0	22.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	2.0	9.0	2.0	17.0	4.0	3.0	45.0	3.0	6.0	12.0	61.0	6.0	11.0	190.0	98.0	21.0	14.0	27.0	20.0	0.0
Macrophage	27.0	539.0	681.0	652.0	39.0	128.0	22.0	204.0	37.0	52.0	174.0	39.0	0.0	3247.0	1864.0	54.0	6.0	218.0	398.0	283.0	272.0	524.0	302.0	234.0	104.0	11.0	733.0	66.0	77.0	87.0	23.0	69.0	137.0	132.0	330.0	907.0	129.0	213.0	844.0	173.0	490.0	2375.0	244.0	424.0	4259.0	2471.0	2487.0	71.0	358.0	131.0	40.0
Macrophage alveolar	2.0	48.0	121.0	355.0	0.0	11.0	0.0	0.0	5.0	7.0	70.0	11.0	0.0	506.0	172.0	99.0	2.0	14347.0	594.0	408.0	291.0	213.0	4.0	160.0	22.0	3.0	201.0	11.0	21.0	24.0	3.0	5.0	30.0	73.0	279.0	19.0	0.0	11.0	499.0	371.0	338.0	226.0	64.0	95.0	1312.0	284.0	2488.0	7.0	14.0	5.0	0.0
Mast cell	10.0	37.0	69.0	103.0	6.0	0.0	98.0	25.0	2.0	111.0	19.0	45.0	11.0	235.0	135.0	2.0	7.0	851.0	80.0	155.0	77.0	57.0	16.0	15.0	74.0	3.0	23.0	13.0	7.0	12.0	10.0	55.0	20.0	38.0	366.0	51.0	87.0	86.0	54.0	453.0	46.0	172.0	172.0	77.0	189.0	3.0	201.0	47.0	78.0	27.0	60.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	0.0
Monocyte classical	14.0	105.0	148.0	136.0	2.0	75.0	17.0	50.0	2.0	40.0	38.0	740.0	18.0	2531.0	1639.0	32.0	112.0	1530.0	208.0	85.0	100.0	42.0	28.0	44.0	65.0	11.0	103.0	9.0	18.0	22.0	10.0	12.0	41.0	21.0	151.0	120.0	9.0	34.0	124.0	84.0	62.0	118.0	105.0	40.0	61.0	990.0	731.0	35.0	23.0	40.0	8.0
Monocyte non-classical	0.0	25.0	41.0	32.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	9.0	0.0	47.0	28.0	3.0	77.0	18.0	85.0	27.0	32.0	18.0	0.0	7.0	14.0	2.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	16.0	10.0	0.0	2.0	3.0	17.0	10.0	0.0	5.0	2.0	0.0	14.0	13.0	0.0	0.0	29.0	0.0
NK cell	48.0	115.0	140.0	132.0	0.0	98.0	51.0	49.0	0.0	11.0	17.0	235.0	254.0	528.0	374.0	61.0	318.0	608.0	491.0	320.0	198.0	156.0	40.0	158.0	299.0	50.0	325.0	19.0	8.0	16.0	10.0	41.0	13.0	59.0	191.0	125.0	37.0	46.0	44.0	153.0	78.0	251.0	87.0	85.0	140.0	335.0	462.0	70.0	46.0	135.0	75.0
NK cell dividing	0.0	2.0	3.0	5.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	2.0	2.0	19.0	6.0	4.0	7.0	0.0	0.0	0.0	10.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	2.0	2.0	33.0	0.0	3.0	2.0	13.0	0.0	0.0	0.0	3.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	15.0	3.0	7.0	14.0	7.0	0.0	5.0	0.0	225.0	369.0	202.0	108.0	2.0	15.0	529.0	22.0	166.0	3.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0	2.0	0.0	0.0	0.0	0.0
Pericyte	3.0	4.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	13.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	0.0	4.0	0.0	21.0	3.0	3.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	5.0	9.0	0.0	3.0	0.0	0.0	6.0	6.0	0.0	0.0	19.0	20.0	15.0	5.0	17.0	11.0	0.0
Plasma cell	74.0	22.0	36.0	19.0	0.0	2.0	11.0	2.0	2.0	41.0	263.0	45.0	2.0	435.0	357.0	0.0	0.0	875.0	9.0	31.0	49.0	18.0	61.0	37.0	417.0	7.0	28.0	0.0	0.0	2.0	42.0	66.0	230.0	15.0	20.0	48.0	183.0	19.0	18.0	58.0	5.0	98.0	163.0	0.0	93.0	13.0	460.0	514.0	134.0	129.0	52.0
Plasma cell dividing	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	86.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	0.0	12.0	0.0	0.0	0.0	3.0	13.0	0.0	0.0	0.0	0.0
Smooth muscle cell	3.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	82.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	4.0	20.0	0.0	4.0	33.0	6.0	3.0	7.0	3.0	0.0	2.0	4.0	2.0	2.0	5.0	18.0	8.0	3.0
T cell CD4	290.0	310.0	287.0	301.0	7.0	1227.0	486.0	366.0	20.0	115.0	596.0	748.0	2994.0	3435.0	2572.0	64.0	110.0	11277.0	1462.0	1686.0	1019.0	699.0	448.0	517.0	984.0	187.0	408.0	445.0	393.0	572.0	58.0	73.0	620.0	144.0	850.0	566.0	1077.0	681.0	998.0	598.0	954.0	1208.0	742.0	850.0	1115.0	1832.0	634.0	4352.0	1375.0	535.0	127.0
T cell CD4 dividing	4.0	14.0	11.0	16.0	0.0	27.0	11.0	17.0	0.0	4.0	2.0	16.0	4.0	461.0	352.0	0.0	5.0	647.0	31.0	13.0	10.0	8.0	6.0	8.0	8.0	0.0	4.0	15.0	22.0	24.0	0.0	0.0	4.0	0.0	16.0	15.0	5.0	9.0	25.0	14.0	15.0	107.0	6.0	71.0	19.0	15.0	13.0	12.0	4.0	5.0	3.0
T cell CD8 activated	2.0	0.0	0.0	2.0	0.0	561.0	446.0	173.0	0.0	12.0	99.0	503.0	2071.0	691.0	689.0	11.0	4.0	332.0	27.0	45.0	10.0	4.0	16.0	10.0	14.0	12.0	186.0	83.0	82.0	70.0	8.0	3.0	77.0	3.0	17.0	9.0	55.0	42.0	0.0	46.0	0.0	0.0	25.0	16.0	0.0	34.0	132.0	46.0	96.0	70.0	4.0
T cell CD8 dividing	0.0	4.0	8.0	6.0	0.0	3.0	2.0	54.0	0.0	2.0	0.0	34.0	4.0	184.0	143.0	2.0	5.0	43.0	2.0	26.0	3.0	5.0	10.0	5.0	22.0	0.0	8.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	32.0	3.0	3.0	2.0	4.0	8.0	135.0	0.0	32.0	9.0	24.0	9.0	0.0	2.0	19.0	2.0
T cell CD8 effector memory	81.0	80.0	86.0	76.0	2.0	502.0	658.0	308.0	5.0	128.0	170.0	787.0	640.0	1077.0	854.0	15.0	24.0	440.0	387.0	512.0	578.0	207.0	209.0	209.0	681.0	15.0	374.0	177.0	143.0	156.0	43.0	66.0	138.0	84.0	175.0	683.0	232.0	297.0	41.0	262.0	130.0	310.0	210.0	513.0	119.0	240.0	754.0	254.0	389.0	538.0	85.0
T cell CD8 naive	125.0	54.0	55.0	35.0	2.0	13.0	23.0	18.0	3.0	3.0	0.0	80.0	308.0	257.0	368.0	3.0	28.0	194.0	65.0	73.0	89.0	32.0	26.0	30.0	110.0	8.0	11.0	3.0	0.0	4.0	24.0	30.0	0.0	13.0	123.0	100.0	83.0	111.0	20.0	19.0	28.0	196.0	125.0	133.0	15.0	64.0	9.0	17.0	105.0	35.0	59.0
T cell CD8 terminally exhausted	0.0	21.0	29.0	17.0	0.0	8.0	8.0	453.0	2.0	0.0	0.0	64.0	51.0	447.0	432.0	6.0	5.0	35.0	49.0	296.0	44.0	46.0	66.0	101.0	229.0	0.0	26.0	15.0	4.0	12.0	0.0	4.0	0.0	0.0	9.0	137.0	32.0	17.0	5.0	6.0	21.0	541.0	7.0	144.0	69.0	28.0	199.0	69.0	9.0	195.0	10.0
T cell NK-like	46.0	34.0	38.0	25.0	0.0	18.0	5.0	0.0	0.0	3.0	0.0	21.0	83.0	26.0	14.0	3.0	112.0	17.0	49.0	192.0	231.0	78.0	5.0	82.0	61.0	18.0	230.0	0.0	0.0	0.0	11.0	21.0	0.0	18.0	19.0	67.0	0.0	92.0	32.0	52.0	61.0	407.0	10.0	27.0	61.0	66.0	36.0	3.0	15.0	108.0	21.0
T cell regulatory	90.0	194.0	216.0	217.0	2.0	168.0	224.0	220.0	5.0	32.0	61.0	447.0	984.0	2565.0	2153.0	10.0	9.0	1022.0	551.0	376.0	336.0	139.0	176.0	183.0	629.0	33.0	129.0	103.0	93.0	106.0	20.0	47.0	43.0	36.0	209.0	127.0	417.0	168.0	16.0	190.0	51.0	504.0	265.0	339.0	99.0	82.0	285.0	720.0	219.0	181.0	39.0
Tumor Secretory_LUAD	5.0	63.0	95.0	105.0	5.0	11.0	17.0	6.0	129.0	55.0	14.0	66.0	0.0	29.0	20.0	33.0	177.0	100.0	37.0	33.0	862.0	47.0	16.0	5.0	83.0	6.0	351.0	0.0	4.0	2.0	18.0	26.0	14.0	53.0	256.0	95.0	22.0	39.0	142.0	546.0	180.0	109.0	182.0	79.0	1372.0	0.0	239.0	5.0	16.0	117.0	82.0
Tumor EMT_lowProlif	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor OxPhos_Prolif	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	3.0	0.0	125.0	0.0	0.0	0.0	0.0	39.0	39.0	42.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Tumor TTF1+_Quiescent	0.0	0.0	0.0	2.0	4.0	5.0	2.0	0.0	0.0	3.0	0.0	22.0	0.0	0.0	2.0	4.0	24.0	11.0	0.0	0.0	6.0	5.0	0.0	0.0	2.0	2.0	5.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	10.0	163.0	25.0	0.0	0.0	2.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0
Tumor LUAD_MSLN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	449.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Tumor Evasive_Prolif	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	70.0	48.0	0.0	0.0	208.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	8.0	259.0	5.0	0.0	0.0	0.0	0.0
Tumor Evasive_HighProlif	5.0	6.0	3.0	2.0	0.0	0.0	6.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	9.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	3.0	5.0	7.0	87.0	245.0	0.0	45.0	0.0	0.0	2.0	4.0	7.0	0.0	27.0	480.0	0.0	258.0	0.0	0.0	4.0	19.0	74.0	0.0	139.0
Tumor Hypoxic_Prolif	0.0	0.0	2.0	2.0	6.0	2.0	16.0	9.0	0.0	222.0	0.0	52.0	8.0	61.0	20.0	6.0	5.0	1673.0	2.0	4.0	22.0	6.0	2.0	11.0	8.0	0.0	9.0	4.0	5.0	5.0	4.0	31.0	0.0	6.0	2.0	0.0	0.0	0.0	6.0	0.0	2841.0	70.0	4.0	33.0	153.0	3.0	67.0	7.0	2.0	11.0	45.0
Tumor NSCLC_Prolif	0.0	32.0	46.0	42.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	555.0	3.0	104.0	73.0	2.0	0.0	381.0	0.0	0.0	11.0	0.0	0.0	23.0	9.0	110.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	12.0	7.0	0.0	0.0	395.0	26.0	145.0	0.0	2.0	255.0	2.0
cDC1	4.0	10.0	15.0	9.0	0.0	32.0	0.0	8.0	0.0	0.0	5.0	5.0	0.0	24.0	34.0	2.0	3.0	35.0	39.0	2.0	0.0	3.0	2.0	0.0	5.0	6.0	2.0	3.0	0.0	2.0	2.0	0.0	5.0	2.0	22.0	19.0	8.0	15.0	25.0	16.0	13.0	39.0	5.0	9.0	24.0	12.0	29.0	15.0	12.0	4.0	2.0
cDC2	7.0	103.0	124.0	154.0	0.0	192.0	56.0	55.0	0.0	91.0	46.0	81.0	0.0	801.0	629.0	30.0	17.0	158.0	259.0	61.0	150.0	71.0	53.0	49.0	96.0	20.0	150.0	23.0	32.0	38.0	6.0	17.0	50.0	46.0	139.0	69.0	32.0	126.0	310.0	122.0	551.0	789.0	57.0	108.0	472.0	78.0	596.0	25.0	45.0	42.0	26.0
myeloid dividing	0.0	11.0	9.0	18.0	0.0	18.0	6.0	15.0	2.0	13.0	12.0	6.0	0.0	325.0	164.0	8.0	2.0	149.0	34.0	11.0	42.0	38.0	38.0	8.0	7.0	3.0	40.0	3.0	2.0	2.0	3.0	3.0	10.0	9.0	27.0	5.0	7.0	21.0	55.0	31.0	123.0	343.0	16.0	21.0	143.0	7.0	135.0	2.0	3.0	4.0	12.0
pDC	5.0	13.0	18.0	14.0	0.0	8.0	8.0	18.0	0.0	5.0	2.0	3.0	3.0	102.0	90.0	3.0	11.0	171.0	76.0	14.0	36.0	6.0	3.0	8.0	29.0	25.0	15.0	8.0	14.0	8.0	0.0	0.0	5.0	0.0	10.0	20.0	3.0	5.0	7.0	21.0	13.0	37.0	6.0	18.0	6.0	21.0	9.0	35.0	7.0	2.0	3.0
stromal dividing	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
