,cell_type_tumor,sample,0
1131,Fibroblast peribronchial,Maynard_Bivona_2020_LT_S71,41
1132,Fibroblast peribronchial,Maynard_Bivona_2020_LT_S74,10
1133,Fibroblast peribronchial,Maynard_Bivona_2020_LT_S79,2
1134,Fibroblast peribronchial,Maynard_Bivona_2020_LT_S82,26
1135,Fibroblast peribronchial,UKIM-V-2_P7_tumor_primary,0
1136,Fibroblast peribronchial,UKIM-V-2_P11_tumor_primary,2
1137,Fibroblast peribronchial,UKIM-V-2_P12_tumor_primary,11
1138,Fibroblast peribronchial,UKIM-V-2_P15_tumor_primary,27
1139,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453576,109
1140,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453577,0
1141,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453578,14
1142,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453579,837
1143,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453580,5
1144,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453581,27
1145,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453582,23
1146,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453583,4
1147,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453584,307
1148,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453585,412
1149,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453586,33
1150,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453587,13
1151,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453588,11
1152,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453589,26
1153,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453590,5
1154,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453591,11
1155,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453592,10
1156,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453593,103
1157,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453594,0
1158,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453595,0
1159,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453596,1
1160,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453597,27
1161,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453598,136
1162,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453599,3
1163,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453600,114
1164,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453601,8
1165,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453602,0
1166,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453603,68
1167,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453604,0
1168,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453605,0
1169,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453606,0
1170,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453607,0
1171,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453608,0
1172,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453609,0
1173,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453610,1
1174,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453611,3
1175,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453612,4
1176,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453613,0
1177,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453614,0
1178,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453615,0
1179,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453616,143
1180,Fibroblast peribronchial,Wu_Zhou_2021_GSM4453617,0
1181,Fibroblast peribronchial,Zilionis_Klein_2019_p2t1,1
1182,Fibroblast peribronchial,Zilionis_Klein_2019_p2t2,2
1183,Fibroblast peribronchial,Zilionis_Klein_2019_p3t1,13
1184,Fibroblast peribronchial,Zilionis_Klein_2019_p3t2,17
1185,Fibroblast peribronchial,Zilionis_Klein_2019_p3t3,12
1186,Fibroblast peribronchial,Zilionis_Klein_2019_p5t1,10
1187,Fibroblast peribronchial,Zilionis_Klein_2019_p5t2,14
1188,Fibroblast peribronchial,Zilionis_Klein_2019_p7t1,9
1189,Fibroblast peribronchial,Zilionis_Klein_2019_p7t2,6
1190,Macrophage,Chen_Zhang_2020_NSCLC-4,43
1191,Macrophage,Chen_Zhang_2020_NSCLC-5,90
1192,Macrophage,Chen_Zhang_2020_NSCLC-8,2117
1193,Macrophage,Chen_Zhang_2020_NSCLC-9,1
1194,Macrophage,Chen_Zhang_2020_NSCLC-10,586
1195,Macrophage,Kim_Lee_2020_BRONCHO_58,189
1196,Macrophage,Kim_Lee_2020_EBUS_06,123
1197,Macrophage,Kim_Lee_2020_EBUS_28,43
1198,Macrophage,Kim_Lee_2020_EBUS_49,40
1199,Macrophage,Kim_Lee_2020_LUNG_T28,553
1200,Macrophage,Kim_Lee_2020_LUNG_T31,183
1201,Macrophage,Lambrechts_Thienpont_2018_6149v2_BT1290,518
1202,Macrophage,Lambrechts_Thienpont_2018_6149v2_BT1291,277
1203,Macrophage,Lambrechts_Thienpont_2018_6149v2_BT1292,364
1204,Macrophage,Lambrechts_Thienpont_2018_6653_scrBT1430m,82
1205,Macrophage,Lambrechts_Thienpont_2018_6653_scrBT1431m,64
1206,Macrophage,Lambrechts_Thienpont_2018_6653_scrBT1432m,32
1207,Macrophage,Laughney_Massague_2020_GSM3516665,290
1208,Macrophage,Maynard_Bivona_2020_LT_S01,6
1209,Macrophage,Maynard_Bivona_2020_LT_S11,3
1210,Macrophage,Maynard_Bivona_2020_LT_S42,0
1211,Macrophage,Maynard_Bivona_2020_LT_S52,59
1212,Macrophage,Maynard_Bivona_2020_LT_S56,1
1213,Macrophage,Maynard_Bivona_2020_LT_S57,63
1214,Macrophage,Maynard_Bivona_2020_LT_S58,60
1215,Macrophage,Maynard_Bivona_2020_LT_S67,4
1216,Macrophage,Maynard_Bivona_2020_LT_S71,34
1217,Macrophage,Maynard_Bivona_2020_LT_S74,38
1218,Macrophage,Maynard_Bivona_2020_LT_S79,32
1219,Macrophage,Maynard_Bivona_2020_LT_S82,99
1220,Macrophage,UKIM-V-2_P7_tumor_primary,128
1221,Macrophage,UKIM-V-2_P11_tumor_primary,500
1222,Macrophage,UKIM-V-2_P12_tumor_primary,215
1223,Macrophage,UKIM-V-2_P15_tumor_primary,338
1224,Macrophage,Wu_Zhou_2021_GSM4453576,587
1225,Macrophage,Wu_Zhou_2021_GSM4453577,8
1226,Macrophage,Wu_Zhou_2021_GSM4453578,29
1227,Macrophage,Wu_Zhou_2021_GSM4453579,1004
1228,Macrophage,Wu_Zhou_2021_GSM4453580,290
1229,Macrophage,Wu_Zhou_2021_GSM4453581,143
1230,Macrophage,Wu_Zhou_2021_GSM4453582,272
1231,Macrophage,Wu_Zhou_2021_GSM4453583,273
1232,Macrophage,Wu_Zhou_2021_GSM4453584,146
1233,Macrophage,Wu_Zhou_2021_GSM4453585,163
1234,Macrophage,Wu_Zhou_2021_GSM4453586,128
1235,Macrophage,Wu_Zhou_2021_GSM4453587,42
1236,Macrophage,Wu_Zhou_2021_GSM4453588,172
1237,Macrophage,Wu_Zhou_2021_GSM4453589,113
1238,Macrophage,Wu_Zhou_2021_GSM4453590,49
1239,Macrophage,Wu_Zhou_2021_GSM4453591,69
1240,Macrophage,Wu_Zhou_2021_GSM4453592,6
1241,Macrophage,Wu_Zhou_2021_GSM4453593,300
1242,Macrophage,Wu_Zhou_2021_GSM4453594,7
1243,Macrophage,Wu_Zhou_2021_GSM4453595,9
1244,Macrophage,Wu_Zhou_2021_GSM4453596,33
1245,Macrophage,Wu_Zhou_2021_GSM4453597,70
1246,Macrophage,Wu_Zhou_2021_GSM4453598,103
1247,Macrophage,Wu_Zhou_2021_GSM4453599,36
1248,Macrophage,Wu_Zhou_2021_GSM4453600,21
1249,Macrophage,Wu_Zhou_2021_GSM4453601,8
1250,Macrophage,Wu_Zhou_2021_GSM4453602,40
1251,Macrophage,Wu_Zhou_2021_GSM4453603,607
1252,Macrophage,Wu_Zhou_2021_GSM4453604,63
1253,Macrophage,Wu_Zhou_2021_GSM4453605,133
1254,Macrophage,Wu_Zhou_2021_GSM4453606,19
1255,Macrophage,Wu_Zhou_2021_GSM4453607,32
1256,Macrophage,Wu_Zhou_2021_GSM4453608,24
1257,Macrophage,Wu_Zhou_2021_GSM4453609,202
1258,Macrophage,Wu_Zhou_2021_GSM4453610,45
1259,Macrophage,Wu_Zhou_2021_GSM4453611,22
1260,Macrophage,Wu_Zhou_2021_GSM4453612,1039
1261,Macrophage,Wu_Zhou_2021_GSM4453613,401
1262,Macrophage,Wu_Zhou_2021_GSM4453614,238
1263,Macrophage,Wu_Zhou_2021_GSM4453615,8
1264,Macrophage,Wu_Zhou_2021_GSM4453616,116
1265,Macrophage,Wu_Zhou_2021_GSM4453617,54
1266,Macrophage,Zilionis_Klein_2019_p2t1,9
1267,Macrophage,Zilionis_Klein_2019_p2t2,9
1268,Macrophage,Zilionis_Klein_2019_p3t1,59
1269,Macrophage,Zilionis_Klein_2019_p3t2,79
1270,Macrophage,Zilionis_Klein_2019_p3t3,85
1271,Macrophage,Zilionis_Klein_2019_p5t1,133
1272,Macrophage,Zilionis_Klein_2019_p5t2,139
1273,Macrophage,Zilionis_Klein_2019_p7t1,297
1274,Macrophage,Zilionis_Klein_2019_p7t2,369
1275,Macrophage alveolar,Chen_Zhang_2020_NSCLC-4,6
1276,Macrophage alveolar,Chen_Zhang_2020_NSCLC-5,15
1277,Macrophage alveolar,Chen_Zhang_2020_NSCLC-8,1523
1278,Macrophage alveolar,Chen_Zhang_2020_NSCLC-9,0
1279,Macrophage alveolar,Chen_Zhang_2020_NSCLC-10,134
1280,Macrophage alveolar,Kim_Lee_2020_BRONCHO_58,35
1281,Macrophage alveolar,Kim_Lee_2020_EBUS_06,4
1282,Macrophage alveolar,Kim_Lee_2020_EBUS_28,5
1283,Macrophage alveolar,Kim_Lee_2020_EBUS_49,4
1284,Macrophage alveolar,Kim_Lee_2020_LUNG_T28,108
1285,Macrophage alveolar,Kim_Lee_2020_LUNG_T31,40
1286,Macrophage alveolar,Lambrechts_Thienpont_2018_6149v2_BT1290,35
1287,Macrophage alveolar,Lambrechts_Thienpont_2018_6149v2_BT1291,22
1288,Macrophage alveolar,Lambrechts_Thienpont_2018_6149v2_BT1292,38
1289,Macrophage alveolar,Lambrechts_Thienpont_2018_6653_scrBT1430m,1
1290,Macrophage alveolar,Lambrechts_Thienpont_2018_6653_scrBT1431m,8
1291,Macrophage alveolar,Lambrechts_Thienpont_2018_6653_scrBT1432m,2
1292,Macrophage alveolar,Laughney_Massague_2020_GSM3516665,100
1293,Macrophage alveolar,Maynard_Bivona_2020_LT_S01,1
1294,Macrophage alveolar,Maynard_Bivona_2020_LT_S11,0
1295,Macrophage alveolar,Maynard_Bivona_2020_LT_S42,0
1296,Macrophage alveolar,Maynard_Bivona_2020_LT_S52,0
1297,Macrophage alveolar,Maynard_Bivona_2020_LT_S56,0
1298,Macrophage alveolar,Maynard_Bivona_2020_LT_S57,8
1299,Macrophage alveolar,Maynard_Bivona_2020_LT_S58,3
1300,Macrophage alveolar,Maynard_Bivona_2020_LT_S67,2
1301,Macrophage alveolar,Maynard_Bivona_2020_LT_S71,1
1302,Macrophage alveolar,Maynard_Bivona_2020_LT_S74,0
1303,Macrophage alveolar,Maynard_Bivona_2020_LT_S79,2
1304,Macrophage alveolar,Maynard_Bivona_2020_LT_S82,9
1305,Macrophage alveolar,UKIM-V-2_P7_tumor_primary,279
1306,Macrophage alveolar,UKIM-V-2_P11_tumor_primary,17
1307,Macrophage alveolar,UKIM-V-2_P12_tumor_primary,13
1308,Macrophage alveolar,UKIM-V-2_P15_tumor_primary,10
1309,Macrophage alveolar,Wu_Zhou_2021_GSM4453576,7
1310,Macrophage alveolar,Wu_Zhou_2021_GSM4453577,0
1311,Macrophage alveolar,Wu_Zhou_2021_GSM4453578,2
1312,Macrophage alveolar,Wu_Zhou_2021_GSM4453579,13
1313,Macrophage alveolar,Wu_Zhou_2021_GSM4453580,15
1314,Macrophage alveolar,Wu_Zhou_2021_GSM4453581,26
1315,Macrophage alveolar,Wu_Zhou_2021_GSM4453582,9
1316,Macrophage alveolar,Wu_Zhou_2021_GSM4453583,20
1317,Macrophage alveolar,Wu_Zhou_2021_GSM4453584,6
1318,Macrophage alveolar,Wu_Zhou_2021_GSM4453585,7
1319,Macrophage alveolar,Wu_Zhou_2021_GSM4453586,7
1320,Macrophage alveolar,Wu_Zhou_2021_GSM4453587,8
1321,Macrophage alveolar,Wu_Zhou_2021_GSM4453588,16
1322,Macrophage alveolar,Wu_Zhou_2021_GSM4453589,1
1323,Macrophage alveolar,Wu_Zhou_2021_GSM4453590,58
1324,Macrophage alveolar,Wu_Zhou_2021_GSM4453591,30
1325,Macrophage alveolar,Wu_Zhou_2021_GSM4453592,3
1326,Macrophage alveolar,Wu_Zhou_2021_GSM4453593,43
1327,Macrophage alveolar,Wu_Zhou_2021_GSM4453594,1
1328,Macrophage alveolar,Wu_Zhou_2021_GSM4453595,1
1329,Macrophage alveolar,Wu_Zhou_2021_GSM4453596,4
1330,Macrophage alveolar,Wu_Zhou_2021_GSM4453597,11
1331,Macrophage alveolar,Wu_Zhou_2021_GSM4453598,15
1332,Macrophage alveolar,Wu_Zhou_2021_GSM4453599,8
1333,Macrophage alveolar,Wu_Zhou_2021_GSM4453600,11
1334,Macrophage alveolar,Wu_Zhou_2021_GSM4453601,1
1335,Macrophage alveolar,Wu_Zhou_2021_GSM4453602,13
1336,Macrophage alveolar,Wu_Zhou_2021_GSM4453603,50
1337,Macrophage alveolar,Wu_Zhou_2021_GSM4453604,2
1338,Macrophage alveolar,Wu_Zhou_2021_GSM4453605,1
1339,Macrophage alveolar,Wu_Zhou_2021_GSM4453606,0
1340,Macrophage alveolar,Wu_Zhou_2021_GSM4453607,3
1341,Macrophage alveolar,Wu_Zhou_2021_GSM4453608,1
1342,Macrophage alveolar,Wu_Zhou_2021_GSM4453609,6
1343,Macrophage alveolar,Wu_Zhou_2021_GSM4453610,9
1344,Macrophage alveolar,Wu_Zhou_2021_GSM4453611,6
1345,Macrophage alveolar,Wu_Zhou_2021_GSM4453612,53
1346,Macrophage alveolar,Wu_Zhou_2021_GSM4453613,26
1347,Macrophage alveolar,Wu_Zhou_2021_GSM4453614,47
1348,Macrophage alveolar,Wu_Zhou_2021_GSM4453615,0
1349,Macrophage alveolar,Wu_Zhou_2021_GSM4453616,4
1350,Macrophage alveolar,Wu_Zhou_2021_GSM4453617,5
1351,Macrophage alveolar,Zilionis_Klein_2019_p2t1,1
1352,Macrophage alveolar,Zilionis_Klein_2019_p2t2,5
1353,Macrophage alveolar,Zilionis_Klein_2019_p3t1,35
1354,Macrophage alveolar,Zilionis_Klein_2019_p3t2,24
1355,Macrophage alveolar,Zilionis_Klein_2019_p3t3,31
1356,Macrophage alveolar,Zilionis_Klein_2019_p5t1,93
1357,Macrophage alveolar,Zilionis_Klein_2019_p5t2,66
1358,Macrophage alveolar,Zilionis_Klein_2019_p7t1,203
1359,Macrophage alveolar,Zilionis_Klein_2019_p7t2,201
1360,Mast cell,Chen_Zhang_2020_NSCLC-4,19
1361,Mast cell,Chen_Zhang_2020_NSCLC-5,16
1362,Mast cell,Chen_Zhang_2020_NSCLC-8,178
1363,Mast cell,Chen_Zhang_2020_NSCLC-9,0
1364,Mast cell,Chen_Zhang_2020_NSCLC-10,166
1365,Mast cell,Kim_Lee_2020_BRONCHO_58,51
1366,Mast cell,Kim_Lee_2020_EBUS_06,1
1367,Mast cell,Kim_Lee_2020_EBUS_28,35
1368,Mast cell,Kim_Lee_2020_EBUS_49,2
1369,Mast cell,Kim_Lee_2020_LUNG_T28,148
1370,Mast cell,Kim_Lee_2020_LUNG_T31,103
1371,Mast cell,Lambrechts_Thienpont_2018_6149v2_BT1290,63
1372,Mast cell,Lambrechts_Thienpont_2018_6149v2_BT1291,50
1373,Mast cell,Lambrechts_Thienpont_2018_6149v2_BT1292,30
1374,Mast cell,Lambrechts_Thienpont_2018_6653_scrBT1430m,24
1375,Mast cell,Lambrechts_Thienpont_2018_6653_scrBT1431m,41
1376,Mast cell,Lambrechts_Thienpont_2018_6653_scrBT1432m,3
1377,Mast cell,Laughney_Massague_2020_GSM3516665,180
1378,Mast cell,Maynard_Bivona_2020_LT_S01,3
1379,Mast cell,Maynard_Bivona_2020_LT_S11,6
1380,Mast cell,Maynard_Bivona_2020_LT_S42,0
1381,Mast cell,Maynard_Bivona_2020_LT_S52,21
1382,Mast cell,Maynard_Bivona_2020_LT_S56,5
1383,Mast cell,Maynard_Bivona_2020_LT_S57,63
1384,Mast cell,Maynard_Bivona_2020_LT_S58,52
1385,Mast cell,Maynard_Bivona_2020_LT_S67,0
1386,Mast cell,Maynard_Bivona_2020_LT_S71,74
1387,Mast cell,Maynard_Bivona_2020_LT_S74,12
1388,Mast cell,Maynard_Bivona_2020_LT_S79,42
1389,Mast cell,Maynard_Bivona_2020_LT_S82,28
1390,Mast cell,UKIM-V-2_P7_tumor_primary,10
1391,Mast cell,UKIM-V-2_P11_tumor_primary,15
1392,Mast cell,UKIM-V-2_P12_tumor_primary,19
1393,Mast cell,UKIM-V-2_P15_tumor_primary,26
1394,Mast cell,Wu_Zhou_2021_GSM4453576,10
1395,Mast cell,Wu_Zhou_2021_GSM4453577,7
1396,Mast cell,Wu_Zhou_2021_GSM4453578,2
1397,Mast cell,Wu_Zhou_2021_GSM4453579,18
1398,Mast cell,Wu_Zhou_2021_GSM4453580,0
1399,Mast cell,Wu_Zhou_2021_GSM4453581,0
1400,Mast cell,Wu_Zhou_2021_GSM4453582,76
1401,Mast cell,Wu_Zhou_2021_GSM4453583,74
1402,Mast cell,Wu_Zhou_2021_GSM4453584,10
1403,Mast cell,Wu_Zhou_2021_GSM4453585,3
1404,Mast cell,Wu_Zhou_2021_GSM4453586,0
1405,Mast cell,Wu_Zhou_2021_GSM4453587,41
1406,Mast cell,Wu_Zhou_2021_GSM4453588,13
1407,Mast cell,Wu_Zhou_2021_GSM4453589,13
1408,Mast cell,Wu_Zhou_2021_GSM4453590,1
1409,Mast cell,Wu_Zhou_2021_GSM4453591,1
1410,Mast cell,Wu_Zhou_2021_GSM4453592,0
1411,Mast cell,Wu_Zhou_2021_GSM4453593,0
1412,Mast cell,Wu_Zhou_2021_GSM4453594,7
1413,Mast cell,Wu_Zhou_2021_GSM4453595,0
1414,Mast cell,Wu_Zhou_2021_GSM4453596,1
1415,Mast cell,Wu_Zhou_2021_GSM4453597,10
1416,Mast cell,Wu_Zhou_2021_GSM4453598,19
1417,Mast cell,Wu_Zhou_2021_GSM4453599,31
1418,Mast cell,Wu_Zhou_2021_GSM4453600,0
1419,Mast cell,Wu_Zhou_2021_GSM4453601,8
1420,Mast cell,Wu_Zhou_2021_GSM4453602,5
1421,Mast cell,Wu_Zhou_2021_GSM4453603,89
1422,Mast cell,Wu_Zhou_2021_GSM4453604,0
1423,Mast cell,Wu_Zhou_2021_GSM4453605,0
1424,Mast cell,Wu_Zhou_2021_GSM4453606,0
1425,Mast cell,Wu_Zhou_2021_GSM4453607,7
1426,Mast cell,Wu_Zhou_2021_GSM4453608,2
1427,Mast cell,Wu_Zhou_2021_GSM4453609,0
1428,Mast cell,Wu_Zhou_2021_GSM4453610,56
1429,Mast cell,Wu_Zhou_2021_GSM4453611,1
1430,Mast cell,Wu_Zhou_2021_GSM4453612,19
1431,Mast cell,Wu_Zhou_2021_GSM4453613,28
1432,Mast cell,Wu_Zhou_2021_GSM4453614,16
1433,Mast cell,Wu_Zhou_2021_GSM4453615,51
1434,Mast cell,Wu_Zhou_2021_GSM4453616,2
1435,Mast cell,Wu_Zhou_2021_GSM4453617,5
1436,Mast cell,Zilionis_Klein_2019_p2t1,2
1437,Mast cell,Zilionis_Klein_2019_p2t2,4
1438,Mast cell,Zilionis_Klein_2019_p3t1,43
1439,Mast cell,Zilionis_Klein_2019_p3t2,58
1440,Mast cell,Zilionis_Klein_2019_p3t3,51
1441,Mast cell,Zilionis_Klein_2019_p5t1,8
1442,Mast cell,Zilionis_Klein_2019_p5t2,12
1443,Mast cell,Zilionis_Klein_2019_p7t1,72
1444,Mast cell,Zilionis_Klein_2019_p7t2,71
1445,Mesothelial,Chen_Zhang_2020_NSCLC-4,0
1446,Mesothelial,Chen_Zhang_2020_NSCLC-5,0
1447,Mesothelial,Chen_Zhang_2020_NSCLC-8,2
1448,Mesothelial,Chen_Zhang_2020_NSCLC-9,0
1449,Mesothelial,Chen_Zhang_2020_NSCLC-10,0
1450,Mesothelial,Kim_Lee_2020_BRONCHO_58,0
1451,Mesothelial,Kim_Lee_2020_EBUS_06,0
1452,Mesothelial,Kim_Lee_2020_EBUS_28,0
1453,Mesothelial,Kim_Lee_2020_EBUS_49,0
1454,Mesothelial,Kim_Lee_2020_LUNG_T28,9
1455,Mesothelial,Kim_Lee_2020_LUNG_T31,5
1456,Mesothelial,Lambrechts_Thienpont_2018_6149v2_BT1290,0
1457,Mesothelial,Lambrechts_Thienpont_2018_6149v2_BT1291,0
1458,Mesothelial,Lambrechts_Thienpont_2018_6149v2_BT1292,0
1459,Mesothelial,Lambrechts_Thienpont_2018_6653_scrBT1430m,0
1460,Mesothelial,Lambrechts_Thienpont_2018_6653_scrBT1431m,0
1461,Mesothelial,Lambrechts_Thienpont_2018_6653_scrBT1432m,0
1462,Mesothelial,Laughney_Massague_2020_GSM3516665,0
1463,Mesothelial,Maynard_Bivona_2020_LT_S01,0
1464,Mesothelial,Maynard_Bivona_2020_LT_S11,0
1465,Mesothelial,Maynard_Bivona_2020_LT_S42,0
1466,Mesothelial,Maynard_Bivona_2020_LT_S52,0
1467,Mesothelial,Maynard_Bivona_2020_LT_S56,0
1468,Mesothelial,Maynard_Bivona_2020_LT_S57,0
1469,Mesothelial,Maynard_Bivona_2020_LT_S58,0
1470,Mesothelial,Maynard_Bivona_2020_LT_S67,0
1471,Mesothelial,Maynard_Bivona_2020_LT_S71,0
1472,Mesothelial,Maynard_Bivona_2020_LT_S74,0
1473,Mesothelial,Maynard_Bivona_2020_LT_S79,0
1474,Mesothelial,Maynard_Bivona_2020_LT_S82,0
1475,Mesothelial,UKIM-V-2_P7_tumor_primary,2
1476,Mesothelial,UKIM-V-2_P11_tumor_primary,0
1477,Mesothelial,UKIM-V-2_P12_tumor_primary,0
1478,Mesothelial,UKIM-V-2_P15_tumor_primary,0
1479,Mesothelial,Wu_Zhou_2021_GSM4453576,0
1480,Mesothelial,Wu_Zhou_2021_GSM4453577,0
1481,Mesothelial,Wu_Zhou_2021_GSM4453578,0
1482,Mesothelial,Wu_Zhou_2021_GSM4453579,0
1483,Mesothelial,Wu_Zhou_2021_GSM4453580,0
1484,Mesothelial,Wu_Zhou_2021_GSM4453581,0
1485,Mesothelial,Wu_Zhou_2021_GSM4453582,1
1486,Mesothelial,Wu_Zhou_2021_GSM4453583,0
1487,Mesothelial,Wu_Zhou_2021_GSM4453584,1
1488,Mesothelial,Wu_Zhou_2021_GSM4453585,0
1489,Mesothelial,Wu_Zhou_2021_GSM4453586,1
1490,Mesothelial,Wu_Zhou_2021_GSM4453587,0
1491,Mesothelial,Wu_Zhou_2021_GSM4453588,0
1492,Mesothelial,Wu_Zhou_2021_GSM4453589,0
1493,Mesothelial,Wu_Zhou_2021_GSM4453590,0
1494,Mesothelial,Wu_Zhou_2021_GSM4453591,0
1495,Mesothelial,Wu_Zhou_2021_GSM4453592,0
1496,Mesothelial,Wu_Zhou_2021_GSM4453593,0
1497,Mesothelial,Wu_Zhou_2021_GSM4453594,0
1498,Mesothelial,Wu_Zhou_2021_GSM4453595,0
1499,Mesothelial,Wu_Zhou_2021_GSM4453596,0
1500,Mesothelial,Wu_Zhou_2021_GSM4453597,0
1501,Mesothelial,Wu_Zhou_2021_GSM4453598,0
1502,Mesothelial,Wu_Zhou_2021_GSM4453599,0
1503,Mesothelial,Wu_Zhou_2021_GSM4453600,1
1504,Mesothelial,Wu_Zhou_2021_GSM4453601,0
1505,Mesothelial,Wu_Zhou_2021_GSM4453602,0
1506,Mesothelial,Wu_Zhou_2021_GSM4453603,1
1507,Mesothelial,Wu_Zhou_2021_GSM4453604,0
1508,Mesothelial,Wu_Zhou_2021_GSM4453605,0
1509,Mesothelial,Wu_Zhou_2021_GSM4453606,0
1510,Mesothelial,Wu_Zhou_2021_GSM4453607,0
1511,Mesothelial,Wu_Zhou_2021_GSM4453608,0
1512,Mesothelial,Wu_Zhou_2021_GSM4453609,0
1513,Mesothelial,Wu_Zhou_2021_GSM4453610,0
1514,Mesothelial,Wu_Zhou_2021_GSM4453611,0
1515,Mesothelial,Wu_Zhou_2021_GSM4453612,0
1516,Mesothelial,Wu_Zhou_2021_GSM4453613,1
1517,Mesothelial,Wu_Zhou_2021_GSM4453614,0
1518,Mesothelial,Wu_Zhou_2021_GSM4453615,0
1519,Mesothelial,Wu_Zhou_2021_GSM4453616,0
1520,Mesothelial,Wu_Zhou_2021_GSM4453617,0
1521,Mesothelial,Zilionis_Klein_2019_p2t1,0
1522,Mesothelial,Zilionis_Klein_2019_p2t2,0
1523,Mesothelial,Zilionis_Klein_2019_p3t1,0
1524,Mesothelial,Zilionis_Klein_2019_p3t2,0
1525,Mesothelial,Zilionis_Klein_2019_p3t3,0
1526,Mesothelial,Zilionis_Klein_2019_p5t1,0
1527,Mesothelial,Zilionis_Klein_2019_p5t2,0
1528,Mesothelial,Zilionis_Klein_2019_p7t1,0
1529,Mesothelial,Zilionis_Klein_2019_p7t2,0
1530,Monocyte classical,Chen_Zhang_2020_NSCLC-4,5
1531,Monocyte classical,Chen_Zhang_2020_NSCLC-5,32
1532,Monocyte classical,Chen_Zhang_2020_NSCLC-8,247
1533,Monocyte classical,Chen_Zhang_2020_NSCLC-9,3
1534,Monocyte classical,Chen_Zhang_2020_NSCLC-10,146
1535,Monocyte classical,Kim_Lee_2020_BRONCHO_58,97
1536,Monocyte classical,Kim_Lee_2020_EBUS_06,185
1537,Monocyte classical,Kim_Lee_2020_EBUS_28,26
1538,Monocyte classical,Kim_Lee_2020_EBUS_49,182
1539,Monocyte classical,Kim_Lee_2020_LUNG_T28,93
1540,Monocyte classical,Kim_Lee_2020_LUNG_T31,31
1541,Monocyte classical,Lambrechts_Thienpont_2018_6149v2_BT1290,98
1542,Monocyte classical,Lambrechts_Thienpont_2018_6149v2_BT1291,84
1543,Monocyte classical,Lambrechts_Thienpont_2018_6149v2_BT1292,116
1544,Monocyte classical,Lambrechts_Thienpont_2018_6653_scrBT1430m,43
1545,Monocyte classical,Lambrechts_Thienpont_2018_6653_scrBT1431m,29
1546,Monocyte classical,Lambrechts_Thienpont_2018_6653_scrBT1432m,5
1547,Monocyte classical,Laughney_Massague_2020_GSM3516665,32
1548,Monocyte classical,Maynard_Bivona_2020_LT_S01,0
1549,Monocyte classical,Maynard_Bivona_2020_LT_S11,0
1550,Monocyte classical,Maynard_Bivona_2020_LT_S42,0
1551,Monocyte classical,Maynard_Bivona_2020_LT_S52,10
1552,Monocyte classical,Maynard_Bivona_2020_LT_S56,13
1553,Monocyte classical,Maynard_Bivona_2020_LT_S57,67
1554,Monocyte classical,Maynard_Bivona_2020_LT_S58,186
1555,Monocyte classical,Maynard_Bivona_2020_LT_S67,4
1556,Monocyte classical,Maynard_Bivona_2020_LT_S71,27
1557,Monocyte classical,Maynard_Bivona_2020_LT_S74,27
1558,Monocyte classical,Maynard_Bivona_2020_LT_S79,27
1559,Monocyte classical,Maynard_Bivona_2020_LT_S82,43
1560,Monocyte classical,UKIM-V-2_P7_tumor_primary,64
1561,Monocyte classical,UKIM-V-2_P11_tumor_primary,74
