	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Chen_Zhang_2020_NSCLC-10	Guo_Zhang_2018_P0617_TTC	Guo_Zhang_2018_P0617_TTH	Guo_Zhang_2018_P0617_TTR	Guo_Zhang_2018_P0729_TTC	Guo_Zhang_2018_P0729_TTH	Guo_Zhang_2018_P0913_TTC	Guo_Zhang_2018_P0913_TTH	Guo_Zhang_2018_P0913_TTR	Guo_Zhang_2018_P0913_TTY	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Leader_Merad_2021_315	Leader_Merad_2021_320	Leader_Merad_2021_338	Maynard_Bivona_2020_LT_S74	UKIM-V-2_P7_tumor_primary	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2
Monocyte classical	5	32	247	3	146	0	0	0	0	2	0	0	0	0	93	31	98	84	116	43	29	5	85	78	181	27	64	74	54	34	0	17	59	109	130	185	24	13	36	48	18	34	6	139	22	0	45	42	1	2	16	18	8	13	3	38	94	14	5	3	6	1	142	6	54	110	196	37	70	4	26	13	6	217	242
Monocyte non-classical	0	0	9	0	12	0	0	0	0	0	0	0	0	0	3	1	9	10	6	0	1	0	3	0	11	1	14	3	5	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	17	0	0	0	0	1	0	1	0
NK cell	208	201	621	0	407	1	0	0	10	2	21	0	0	0	114	251	88	96	48	103	51	39	28	40	51	28	365	446	748	1	0	0	3	0	5	35	1	2	1	5	10	2	0	0	0	0	1	7	0	0	31	0	2	0	4	4	1	0	0	0	2	0	1	0	0	4	26	2	38	0	8	0	2	17	16
NK cell dividing	1	10	17	1	9	0	0	0	0	0	0	0	0	0	1	8	1	3	0	4	1	4	0	1	2	2	3	4	14	2	0	0	2	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Neutrophils	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	177	60	28	0	0	0	10	0	8	6	4	1	0	2	0	0	0	7	0	0	0	73	0	0	29	0	7	1	98	118	0	0	0	0	0	0	31	0	53	590	0	2	83	0	19	7	7	362	229
Pericyte	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	36	51	12	4	5	1	0	13	3	91	0	1	7	54	0	6	196	1	6	8	1	49	36	3	3	5	2	1	3	21	121	0	0	9	3	2	1	19	0	0	5	0	0	1	0	1	0	0	2	0	0	0	0	66	0	1	0	1	6
Plasma cell	239	569	17	46	855	0	0	0	0	0	0	0	0	0	253	251	27	69	12	96	75	77	140	1001	219	169	2	222	409	162	0	5	311	69	44	565	72	132	77	24	50	85	86	28	3	14	16	2	8	78	0	98	52	0	6	3	93	0	0	11	6	0	23	2	3	24	5	155	25	6	55	25	27	80	93
Plasma cell dividing	0	7	1	0	112	0	0	0	0	0	0	0	0	0	9	1	2	0	1	0	3	0	2	14	5	2	0	5	1	1	0	1	2	0	0	4	1	1	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	1
ROS1+ healthy epithelial	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Smooth muscle cell	1	0	2	0	0	0	0	0	0	0	0	0	0	0	7	31	10	6	1	0	0	0	0	3	3	22	0	0	1	2	0	0	0	0	0	0	3	5	5	2	2	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0
T cell CD4	1314	1354	1085	16	2629	28	132	112	16	26	9	98	128	63	485	941	373	335	325	238	710	213	151	90	568	65	570	926	1314	1	1	0	10	4	3	101	27	4	3	6	5	28	0	0	0	0	7	17	1	1	59	5	26	1	22	13	21	1	1	1	61	0	1	10	0	3	30	32	159	0	70	25	19	103	73
T cell CD4 dividing	23	34	28	12	194	0	0	1	0	1	0	0	11	2	7	14	7	6	3	1	1	5	9	4	5	0	2	16	17	13	0	4	78	8	7	50	8	10	8	2	4	4	4	1	0	0	7	0	0	6	5	2	2	1	0	2	3	1	2	1	0	1	5	0	1	0	8	27	1	1	18	0	0	0	7
T cell CD8 activated	85	39	19	0	168	0	1	0	0	0	0	0	0	0	25	208	5	4	0	3	3	2	0	2	8	1	7	16	44	0	0	0	1	0	0	4	2	0	0	0	1	3	0	0	0	0	0	0	0	0	8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13	7	0	1	3	1	20	16
T cell CD8 dividing	16	57	21	0	247	6	0	0	2	0	10	0	1	1	32	28	31	36	12	27	3	11	3	4	30	0	4	10	32	8	0	3	59	0	11	29	0	7	3	4	1	0	2	0	0	0	11	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	0	10	0	0	0	0
T cell CD8 effector memory	632	1516	531	0	3099	91	5	7	87	9	158	60	5	12	317	1063	257	272	204	107	283	176	143	98	189	60	174	648	803	1	0	0	20	1	5	245	5	1	7	6	8	5	0	0	0	0	6	9	0	1	65	2	17	0	3	7	7	0	0	0	9	0	2	1	0	10	15	42	45	0	39	5	0	30	31
T cell CD8 naive	33	30	11	0	75	1	11	8	1	8	3	0	0	0	42	54	21	64	9	34	53	27	17	10	24	2	53	39	138	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	1	1	0	0	0	5	0	0	0	0	0	3	8	3	0	21	0	0	0	0
T cell CD8 terminally exhausted	110	881	136	1	803	8	0	0	26	0	32	6	1	2	268	320	320	397	127	151	70	85	42	24	66	8	15	107	564	5	0	0	40	0	1	118	1	3	3	8	0	0	1	0	0	0	6	1	0	1	7	2	1	0	0	7	4	0	0	0	0	0	3	0	0	8	5	4	2	0	39	0	0	1	1
T cell NK-like	23	11	63	0	188	18	1	0	27	3	19	3	0	0	71	63	59	57	26	40	29	14	13	13	40	4	55	86	122	0	0	0	0	0	0	12	2	0	0	3	5	1	0	0	0	0	0	12	0	0	0	0	2	0	3	5	2	0	0	1	1	0	0	0	0	6	19	4	21	0	32	0	0	0	0
T cell regulatory	880	1410	322	0	2064	0	5	14	1	0	0	8	28	5	172	319	150	253	54	92	142	100	60	65	100	14	90	176	615	4	0	1	41	0	0	151	7	7	12	8	5	28	1	0	0	0	4	1	2	0	30	3	5	0	8	7	13	0	1	0	4	0	0	2	0	2	12	35	9	0	69	12	11	35	35
Tumor cells LUAD	49	133	471	849	1378	0	0	0	0	0	0	0	0	0	622	86	220	329	312	129	4	37	10	261	4	48	136	642	160	204	174	309	26	490	60	9	145	282	102	5	31	112	19	547	479	154	739	5	136	1097	16	234	13	88	17	3	262	0	8	96	102	99	153	30	41	5	117	193	5	354	5	6	3	209	209
Tumor cells LUAD EMT	3	0	0	5873	0	0	0	0	0	0	0	0	0	0	0	0	3	4	9	1	0	5	0	3	0	0	0	0	27	19	0	100	8	0	0	3	1	10	19	141	7	0	0	0	3	28	0	0	0	0	0	33	0	32	2	1	0	526	233	1	0	0	36	0	3	3	6	0	0	118	135	3	3	1	4
Tumor cells LUAD MSLN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tumor cells LUAD NE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Tumor cells LUAD mitotic	0	1	437	33	18	0	0	0	0	0	0	0	0	0	44	3	67	25	22	0	0	0	0	3	0	2	0	18	10	7	9	7	0	202	0	2	9	1129	6	0	7	4	1	9	105	2	5	0	23	93	2	4	49	16	0	0	21	0	0	0	10	36	28	6	0	0	7	74	0	11	0	0	0	3	3
Tumor cells LUSC	4	30	7	178	2	0	0	0	0	0	0	0	0	0	5	6	11	12	32	45	1	12	0	19	0	0	0	45	88	1094	1	2427	307	1	46	31	2	22	865	2	9	2	202	101	23	4420	67	5	7	9	7	698	5	466	7	2	49	0	195	86	0	0	27	0	40	2	3	0	1	1778	13	18	18	2	3
Tumor cells LUSC mitotic	5	16	9	132	41	0	0	0	0	0	0	0	0	0	8	1	11	23	43	9	1	2	0	16	0	0	0	18	171	1191	0	1283	231	2	51	31	16	26	735	5	7	0	569	165	9	563	81	0	9	16	2	224	7	1232	4	0	17	2	13	32	0	7	20	0	41	1	1	1	1	919	13	7	4	3	0
Tumor cells NSCLC mixed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	3	0	0	0	0	2	0	1	0	0	0	251	0	181	32	0	40	4	1	3	11	0	0	0	59	822	0	0	12	64	1	0	0	4	0	0	1	15	40	0	0	0	0	0	1	0	8	0	0	1	1	21	0	1	1	1	0
cDC1	6	12	15	0	18	0	0	0	0	0	0	0	0	0	6	17	8	2	0	1	3	2	5	1	12	0	1	3	7	2	0	0	0	0	0	10	4	2	3	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	16	1	0	0	2	0	1	2
cDC2	8	30	1128	0	228	0	0	0	0	0	0	0	0	0	29	50	79	65	55	15	16	2	8	13	49	4	80	39	41	16	1	7	48	12	7	32	20	43	14	0	36	65	12	1	0	0	7	2	0	5	11	18	3	2	0	3	42	9	3	2	13	0	2	13	0	28	56	159	14	3	6	1	2	36	26
myeloid dividing	1	2	212	0	18	0	0	0	0	0	0	0	0	0	15	7	12	13	15	6	1	0	2	1	2	7	28	32	14	22	0	8	74	115	9	18	9	18	24	3	9	15	18	23	5	0	24	0	0	4	3	24	10	3	0	0	77	10	1	0	5	3	5	1	2	17	13	154	3	5	0	0	0	3	3
pDC	3	14	6	0	29	0	0	0	0	0	0	0	0	0	10	10	11	2	0	3	3	0	13	3	22	2	8	3	6	2	0	3	0	0	4	20	0	2	1	2	13	0	3	1	1	0	1	0	0	1	6	6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	9	11	6	0	4	0	0	24	31
stromal dividing	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	3	0	0	0	13	0	2	83	0	1	0	1	21	14	1	1	0	1	2	0	2	35	0	0	1	0	1	1	36	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
transitional club/AT2	5	7	2515	189	162	0	0	0	0	0	0	0	0	0	23	19	49	28	14	8	19	4	2	3	4	2	151	24	2	0	0	0	1	313	18	39	10	73	0	0	18	3	1	1	9	0	1	0	3	32	0	0	8	0	1	0	21	0	0	1	102	39	6	164	1	1	28	36	6	0	0	0	1	11	13
