	Chen_Zhang_2020_NSCLC-1	Chen_Zhang_2020_NSCLC-11	Chen_Zhang_2020_NSCLC-2	Chen_Zhang_2020_NSCLC-3	Chen_Zhang_2020_NSCLC-6	Chen_Zhang_2020_NSCLC-7	He_Fan_2021_LUAD1	He_Fan_2021_LUAD2	He_Fan_2021_LUAD3	He_Fan_2021_LUAD4	He_Fan_2021_LUAD5	Kim_Lee_2020_LUNG_T06	Kim_Lee_2020_LUNG_T08	Kim_Lee_2020_LUNG_T09	Kim_Lee_2020_LUNG_T18	Kim_Lee_2020_LUNG_T19	Kim_Lee_2020_LUNG_T20	Kim_Lee_2020_LUNG_T25	Kim_Lee_2020_LUNG_T30	Kim_Lee_2020_LUNG_T34	Lambrechts_Thienpont_2018_6149v1_BT1249	Lambrechts_Thienpont_2018_6149v1_BT1A	Lambrechts_Thienpont_2018_6149v1_BT1B	Lambrechts_Thienpont_2018_6149v1_BT1C	Lambrechts_Thienpont_2018_6149v1_BT2A	Lambrechts_Thienpont_2018_6149v1_BT2B	Lambrechts_Thienpont_2018_6149v2_BT1295	Lambrechts_Thienpont_2018_6149v2_BT1296	Lambrechts_Thienpont_2018_6149v2_BT1297	Lambrechts_Thienpont_2018_6149v2_BT1298	Lambrechts_Thienpont_2018_6149v2_BT1299	Lambrechts_Thienpont_2018_6149v2_BT1300	Lambrechts_Thienpont_2018_6653_BT1375	Lambrechts_Thienpont_2018_6653_BT1376	Lambrechts_Thienpont_2018_6653_BT1377	Lambrechts_Thienpont_2018_6653_scrBT1425_hg19	Lambrechts_Thienpont_2018_6653_scrBT1426_hg19	Lambrechts_Thienpont_2018_6653_scrBT1427_hg19	Laughney_Massague_2020_GSM3516662	Laughney_Massague_2020_GSM3516663	Laughney_Massague_2020_GSM3516667	Laughney_Massague_2020_GSM3516669	Laughney_Massague_2020_GSM3516670	Laughney_Massague_2020_GSM3516672	Laughney_Massague_2020_GSM3516674	Maynard_Bivona_2020_LT_S66	P001	P002	P003	P004	P005	P006	P007	P008	P009	P010	P011	P012	P013	P014	P015	P016	P017	P018	P019	P020	P021	P022	P023	P024	P025	P026	P027	P028	P029	P030	P031	P032	P033	P034	P035	P036	P037	P038	P039	P040	P041	P042	P043	UKIM-V-2_P10_tumor_primary	UKIM-V-2_P13_tumor_primary	UKIM-V-2_P14_tumor_primary	UKIM-V-2_P16_tumor_primary	UKIM-V-2_P17_tumor_primary	UKIM-V-2_P4_tumor_primary	UKIM-V-2_P5_tumor_primary	UKIM-V-2_P6_tumor_primary	UKIM-V-2_P8_tumor_primary	UKIM-V-2_P9_tumor_primary	UKIM-V_P1_tumor_primary	UKIM-V_P2_tumor_primary	UKIM-V_P3_tumor_primary	Zilionis_Klein_2019_p1t1	Zilionis_Klein_2019_p1t2	Zilionis_Klein_2019_p1t3	Zilionis_Klein_2019_p1t4	Zilionis_Klein_2019_p4t1	Zilionis_Klein_2019_p4t2	Zilionis_Klein_2019_p4t3	Zilionis_Klein_2019_p6t1	Zilionis_Klein_2019_p6t2
Plasma cell	74.0	4624.0	134.0	514.0	460.0	13.0	93.0	98.0	5.0	18.0	444.0	19.0	183.0	48.0	23.0	20.0	0.0	163.0	58.0	15.0	0.0	6.0	15.0	31.0	30.0	51.0	64.0	130.0	155.0	31.0	129.0	129.0	52.0	66.0	42.0	22.0	36.0	19.0	0.0	2.0	11.0	0.0	0.0	2.0	2.0	41.0	69.0	77.0	112.0	15.0	18.0	3.0	64.0	86.0	40.0	116.0	54.0	4.0	245.0	10.0	25.0	44.0	81.0	578.0	6.0	114.0	45.0	66.0	89.0	69.0	0.0	24.0	7.0	89.0	41.0	32.0	187.0	299.0	91.0	68.0	318.0	348.0	41.0	401.0	194.0	688.0	150.0	83.0	469.0	9.0	31.0	49.0	18.0	206.0	61.0	37.0	13.0	9.0	417.0	7.0	175.0	28.0	69.0	83.0	32.0	34.0	0.0	0.0	2.0	263.0	230.0
Plasma cell dividing	0.0	8.0	0.0	0.0	13.0	3.0	0.0	12.0	0.0	0.0	74.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	5.0	0.0	2.0	2.0	11.0	7.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	12.0	2.0	0.0	3.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	0.0	13.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ROS1+ healthy epithelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	32.0	728.0	8.0	434.0	59.0	56.0	3.0	64.0	10.0	175.0	62.0	141.0	180.0	43.0	25.0	168.0	44.0	10.0	19.0	8.0	21.0	24.0	13.0	87.0	87.0	113.0	61.0	43.0	230.0	4.0	4.0	8.0	18.0	128.0	9.0	21.0	58.0	2.0	11.0	5.0	0.0	12.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smooth muscle cell	3.0	2.0	18.0	5.0	2.0	2.0	4.0	3.0	7.0	6.0	4.0	33.0	4.0	0.0	29.0	20.0	2.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	6.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	3.0	11.0	0.0	82.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	6.0	10.0	0.0	4.0	0.0	3.0	0.0	0.0	13.0	2.0	12.0	10.0	2.0	0.0	4.0	0.0	14.0	0.0	0.0	10.0	22.0	11.0	19.0	24.0	0.0	0.0	0.0	0.0	0.0	4.0	13.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0
T cell CD4	290.0	685.0	1375.0	4352.0	634.0	1832.0	1115.0	1208.0	954.0	998.0	1475.0	681.0	1077.0	566.0	386.0	850.0	850.0	742.0	598.0	144.0	6.0	45.0	50.0	84.0	37.0	153.0	187.0	437.0	398.0	492.0	535.0	612.0	127.0	73.0	58.0	310.0	287.0	301.0	7.0	1227.0	486.0	23.0	29.0	366.0	20.0	115.0	1553.0	366.0	837.0	494.0	116.0	539.0	513.0	291.0	42.0	828.0	158.0	241.0	264.0	135.0	829.0	844.0	348.0	1391.0	1009.0	579.0	1438.0	1656.0	595.0	1770.0	257.0	535.0	305.0	815.0	71.0	722.0	1420.0	1241.0	560.0	508.0	183.0	477.0	685.0	785.0	318.0	359.0	264.0	799.0	438.0	1462.0	1686.0	1019.0	699.0	213.0	448.0	517.0	334.0	30.0	984.0	187.0	321.0	408.0	189.0	230.0	113.0	142.0	445.0	393.0	572.0	596.0	620.0
T cell CD4 dividing	4.0	62.0	4.0	12.0	13.0	15.0	19.0	107.0	15.0	25.0	77.0	9.0	5.0	15.0	14.0	16.0	71.0	6.0	14.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	20.0	24.0	11.0	8.0	5.0	16.0	3.0	0.0	0.0	14.0	11.0	16.0	0.0	27.0	11.0	7.0	5.0	17.0	0.0	4.0	24.0	32.0	29.0	8.0	9.0	10.0	37.0	32.0	24.0	18.0	14.0	27.0	58.0	25.0	64.0	27.0	46.0	74.0	75.0	19.0	36.0	114.0	66.0	120.0	23.0	38.0	37.0	82.0	7.0	22.0	34.0	62.0	78.0	11.0	50.0	12.0	29.0	17.0	283.0	29.0	19.0	44.0	36.0	31.0	13.0	10.0	8.0	10.0	6.0	8.0	8.0	2.0	8.0	0.0	28.0	4.0	11.0	3.0	6.0	7.0	15.0	22.0	24.0	2.0	4.0
T cell CD8 activated	2.0	64.0	96.0	46.0	132.0	34.0	0.0	0.0	0.0	0.0	0.0	42.0	55.0	9.0	11.0	17.0	16.0	25.0	46.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	50.0	37.0	53.0	14.0	70.0	62.0	4.0	3.0	8.0	0.0	0.0	2.0	0.0	561.0	446.0	0.0	13.0	173.0	0.0	12.0	612.0	1491.0	723.0	579.0	32.0	1192.0	1715.0	1625.0	10.0	1260.0	176.0	1041.0	1154.0	542.0	408.0	1714.0	887.0	1369.0	826.0	775.0	2333.0	1818.0	3222.0	849.0	671.0	304.0	1206.0	1457.0	245.0	862.0	1089.0	1277.0	926.0	1580.0	373.0	497.0	774.0	765.0	414.0	1498.0	514.0	1677.0	615.0	27.0	45.0	10.0	4.0	0.0	16.0	10.0	6.0	0.0	14.0	12.0	57.0	186.0	52.0	45.0	55.0	36.0	83.0	82.0	70.0	99.0	77.0
T cell CD8 dividing	0.0	33.0	2.0	0.0	9.0	24.0	9.0	135.0	8.0	2.0	68.0	3.0	3.0	32.0	7.0	0.0	32.0	0.0	4.0	0.0	0.0	7.0	2.0	12.0	6.0	9.0	135.0	141.0	116.0	11.0	19.0	18.0	2.0	0.0	0.0	4.0	8.0	6.0	0.0	3.0	2.0	4.0	3.0	54.0	0.0	2.0	8.0	13.0	40.0	0.0	0.0	0.0	7.0	0.0	4.0	5.0	4.0	0.0	2.0	0.0	2.0	7.0	15.0	8.0	19.0	7.0	2.0	34.0	6.0	8.0	4.0	5.0	3.0	76.0	0.0	28.0	36.0	13.0	25.0	2.0	7.0	4.0	52.0	8.0	55.0	7.0	7.0	7.0	18.0	2.0	26.0	3.0	5.0	0.0	10.0	5.0	16.0	11.0	22.0	0.0	12.0	8.0	0.0	2.0	0.0	3.0	0.0	0.0	2.0	0.0	2.0
T cell CD8 effector memory	81.0	391.0	389.0	254.0	754.0	240.0	119.0	310.0	130.0	41.0	81.0	297.0	232.0	683.0	134.0	175.0	513.0	210.0	262.0	84.0	0.0	31.0	26.0	60.0	11.0	57.0	296.0	421.0	422.0	259.0	538.0	405.0	85.0	66.0	43.0	80.0	86.0	76.0	2.0	502.0	658.0	0.0	37.0	308.0	5.0	128.0	2017.0	4096.0	3158.0	1722.0	324.0	1122.0	2988.0	2614.0	522.0	3071.0	800.0	1737.0	2058.0	615.0	1382.0	2184.0	1398.0	2171.0	1598.0	902.0	1526.0	5018.0	2255.0	1349.0	1883.0	1210.0	2110.0	1991.0	501.0	2213.0	3459.0	2825.0	3668.0	1632.0	585.0	1328.0	1332.0	1346.0	3097.0	1979.0	2717.0	2452.0	2117.0	387.0	512.0	578.0	207.0	48.0	209.0	209.0	254.0	39.0	681.0	15.0	215.0	374.0	96.0	111.0	71.0	82.0	177.0	143.0	156.0	170.0	138.0
T cell CD8 naive	125.0	29.0	105.0	17.0	9.0	64.0	15.0	196.0	28.0	20.0	68.0	111.0	83.0	100.0	76.0	123.0	133.0	125.0	19.0	13.0	0.0	9.0	5.0	15.0	9.0	2.0	12.0	33.0	40.0	7.0	35.0	132.0	59.0	30.0	24.0	54.0	55.0	35.0	2.0	13.0	23.0	2.0	5.0	18.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	73.0	89.0	32.0	14.0	26.0	30.0	87.0	12.0	110.0	8.0	7.0	11.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0
T cell CD8 terminally exhausted	0.0	140.0	9.0	69.0	199.0	28.0	69.0	541.0	21.0	5.0	1018.0	17.0	32.0	137.0	73.0	9.0	144.0	7.0	6.0	0.0	2.0	53.0	49.0	70.0	43.0	193.0	879.0	1037.0	1006.0	169.0	195.0	165.0	10.0	4.0	0.0	21.0	29.0	17.0	0.0	8.0	8.0	3.0	18.0	453.0	2.0	0.0	10.0	8.0	133.0	4.0	0.0	0.0	7.0	0.0	4.0	0.0	2.0	22.0	0.0	0.0	9.0	3.0	6.0	10.0	4.0	14.0	7.0	54.0	3.0	22.0	19.0	4.0	3.0	13.0	0.0	152.0	306.0	18.0	41.0	0.0	2.0	3.0	135.0	8.0	133.0	4.0	17.0	9.0	32.0	49.0	296.0	44.0	46.0	21.0	66.0	101.0	101.0	65.0	229.0	0.0	69.0	26.0	4.0	7.0	7.0	4.0	15.0	4.0	12.0	0.0	0.0
T cell NK-like	46.0	54.0	15.0	3.0	36.0	66.0	61.0	407.0	61.0	32.0	321.0	92.0	0.0	67.0	52.0	19.0	27.0	10.0	52.0	18.0	2.0	11.0	12.0	18.0	11.0	17.0	45.0	66.0	71.0	34.0	108.0	61.0	21.0	21.0	11.0	34.0	38.0	25.0	0.0	18.0	5.0	0.0	2.0	0.0	0.0	3.0	31.0	63.0	39.0	8.0	4.0	9.0	4.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	0.0	25.0	15.0	0.0	58.0	11.0	0.0	0.0	3.0	0.0	10.0	29.0	7.0	47.0	12.0	0.0	3.0	28.0	32.0	2.0	12.0	0.0	0.0	20.0	49.0	192.0	231.0	78.0	32.0	5.0	82.0	37.0	25.0	61.0	18.0	47.0	230.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cell regulatory	90.0	384.0	219.0	720.0	285.0	82.0	99.0	504.0	51.0	16.0	1366.0	168.0	417.0	127.0	247.0	209.0	339.0	265.0	190.0	36.0	5.0	32.0	20.0	19.0	56.0	94.0	270.0	401.0	383.0	77.0	181.0	180.0	39.0	47.0	20.0	194.0	216.0	217.0	2.0	168.0	224.0	5.0	66.0	220.0	5.0	32.0	579.0	427.0	691.0	238.0	19.0	174.0	689.0	248.0	87.0	407.0	58.0	179.0	549.0	211.0	520.0	559.0	429.0	755.0	180.0	402.0	885.0	1345.0	749.0	1195.0	404.0	288.0	393.0	703.0	51.0	577.0	1408.0	874.0	1185.0	461.0	466.0	157.0	292.0	691.0	1947.0	391.0	383.0	472.0	909.0	551.0	376.0	336.0	139.0	185.0	176.0	183.0	133.0	46.0	629.0	33.0	213.0	129.0	71.0	74.0	60.0	64.0	103.0	93.0	106.0	61.0	43.0
Tumor cells LUAD	0.0	129.0	21.0	12.0	179.0	32.0	532.0	443.0	2659.0	276.0	282.0	48.0	0.0	3.0	723.0	69.0	264.0	10.0	5.0	324.0	7.0	38.0	42.0	23.0	78.0	73.0	239.0	610.0	723.0	817.0	247.0	1210.0	170.0	261.0	87.0	35.0	36.0	42.0	10.0	4.0	23.0	210.0	93.0	27.0	17.0	242.0	48.0	444.0	53.0	127.0	171.0	176.0	34.0	318.0	97.0	215.0	46.0	773.0	668.0	380.0	199.0	573.0	485.0	367.0	270.0	587.0	302.0	79.0	121.0	2431.0	58.0	411.0	246.0	75.0	1006.0	50.0	96.0	81.0	187.0	503.0	353.0	186.0	3192.0	286.0	52.0	748.0	364.0	1797.0	270.0	185.0	18.0	543.0	129.0	10.0	123.0	25.0	64.0	9.0	397.0	19.0	1520.0	306.0	23.0	30.0	23.0	23.0	14.0	18.0	20.0	4.0	7.0
Tumor cells LUAD EMT	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	4.0	3.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	14.0	4.0	3.0	0.0	21.0	0.0	5.0	7.0	3.0	9.0	2.0	2.0	0.0	0.0	0.0
Tumor cells LUAD MSLN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD NE	0.0	0.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUAD mitotic	0.0	5.0	2.0	3.0	14.0	0.0	89.0	90.0	102.0	22.0	9.0	2.0	0.0	0.0	29.0	2.0	26.0	0.0	5.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	5.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	5.0	0.0	4.0	2.0	8.0	0.0	2.0	8.0	2.0	0.0	0.0	3.0	0.0	0.0	2.0	3.0	5.0	6.0	24.0	0.0	10.0	7.0	0.0	3.0	3.0	0.0	90.0	2.0	6.0	11.0	0.0	30.0	5.0	5.0	5.0	3.0	2.0	4.0	3.0	3.0	4.0	0.0	0.0	3.0	0.0	5.0	26.0	0.0	9.0	13.0	0.0	12.0	6.0	0.0	0.0	24.0	0.0	129.0	10.0	0.0	0.0	0.0	0.0	0.0	2.0	6.0	0.0	0.0
Tumor cells LUSC	0.0	41.0	0.0	0.0	19.0	21.0	13.0	9.0	3.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	6.0	6.0	7.0	20.0	3.0	12.0	15.0	34.0	9.0	114.0	0.0	2.0	0.0	5.0	6.0	9.0	0.0	0.0	0.0	6.0	4.0	7.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	2.0	0.0	19.0	3.0	7.0	2.0	164.0	6.0	166.0	180.0	82.0	102.0	0.0	0.0	0.0	0.0	0.0
Tumor cells LUSC mitotic	0.0	50.0	0.0	0.0	13.0	14.0	83.0	8.0	0.0	0.0	4.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	5.0	2.0	9.0	12.0	7.0	29.0	29.0	27.0	12.0	99.0	6.0	11.0	3.0	4.0	5.0	3.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	3.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	33.0	11.0	6.0	0.0	157.0	0.0	50.0	63.0	43.0	31.0	0.0	0.0	0.0	0.0	0.0
Tumor cells NSCLC mixed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	3.0	3.0	0.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	10.0	0.0	6.0	0.0	0.0	30.0	4.0	0.0	0.0	0.0	0.0	6.0	117.0	31.0	2.0	0.0	3.0	5.0	10.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	92.0	100.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
cDC1	4.0	3.0	12.0	15.0	29.0	12.0	24.0	39.0	13.0	25.0	31.0	15.0	8.0	19.0	6.0	22.0	9.0	5.0	16.0	2.0	0.0	2.0	0.0	2.0	3.0	3.0	7.0	8.0	5.0	3.0	4.0	6.0	2.0	0.0	2.0	10.0	15.0	9.0	0.0	32.0	0.0	2.0	0.0	8.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	2.0	0.0	3.0	0.0	2.0	0.0	9.0	0.0	5.0	6.0	12.0	2.0	4.0	2.0	2.0	0.0	3.0	0.0	2.0	5.0	5.0
cDC2	7.0	40.0	45.0	25.0	596.0	78.0	472.0	789.0	551.0	310.0	669.0	126.0	32.0	69.0	96.0	139.0	108.0	57.0	122.0	46.0	4.0	16.0	13.0	11.0	9.0	21.0	33.0	26.0	46.0	23.0	42.0	44.0	26.0	17.0	6.0	103.0	124.0	154.0	0.0	192.0	56.0	35.0	22.0	55.0	0.0	91.0	43.0	165.0	108.0	61.0	74.0	144.0	55.0	15.0	77.0	129.0	42.0	60.0	69.0	27.0	69.0	117.0	69.0	53.0	87.0	29.0	156.0	265.0	26.0	251.0	143.0	199.0	80.0	64.0	35.0	231.0	55.0	78.0	117.0	148.0	164.0	81.0	40.0	61.0	20.0	26.0	62.0	55.0	29.0	259.0	61.0	150.0	71.0	20.0	53.0	49.0	120.0	5.0	96.0	20.0	123.0	150.0	59.0	55.0	35.0	37.0	23.0	32.0	38.0	46.0	50.0
myeloid dividing	0.0	7.0	3.0	2.0	135.0	7.0	143.0	343.0	123.0	55.0	149.0	21.0	7.0	5.0	37.0	27.0	21.0	16.0	31.0	9.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	4.0	7.0	12.0	3.0	3.0	11.0	9.0	18.0	0.0	18.0	6.0	2.0	13.0	15.0	2.0	13.0	12.0	91.0	33.0	36.0	28.0	53.0	33.0	13.0	80.0	47.0	82.0	107.0	88.0	37.0	45.0	53.0	49.0	47.0	66.0	13.0	40.0	84.0	7.0	294.0	77.0	223.0	40.0	26.0	32.0	67.0	18.0	29.0	57.0	70.0	112.0	28.0	47.0	60.0	127.0	38.0	33.0	30.0	60.0	34.0	11.0	42.0	38.0	5.0	38.0	8.0	38.0	0.0	7.0	3.0	23.0	40.0	19.0	23.0	12.0	14.0	3.0	2.0	2.0	12.0	10.0
pDC	5.0	12.0	7.0	35.0	9.0	21.0	6.0	37.0	13.0	7.0	35.0	5.0	3.0	20.0	6.0	10.0	18.0	6.0	21.0	0.0	0.0	0.0	2.0	2.0	2.0	8.0	4.0	13.0	6.0	4.0	2.0	11.0	3.0	0.0	0.0	13.0	18.0	14.0	0.0	8.0	8.0	30.0	0.0	18.0	0.0	5.0	6.0	56.0	34.0	15.0	5.0	5.0	31.0	15.0	0.0	30.0	7.0	9.0	18.0	5.0	7.0	22.0	22.0	30.0	35.0	20.0	26.0	55.0	19.0	71.0	8.0	11.0	69.0	125.0	10.0	26.0	56.0	63.0	70.0	8.0	85.0	52.0	90.0	26.0	98.0	7.0	25.0	27.0	24.0	76.0	14.0	36.0	6.0	27.0	3.0	8.0	22.0	4.0	29.0	25.0	8.0	15.0	30.0	28.0	10.0	17.0	8.0	14.0	8.0	2.0	5.0
stromal dividing	0.0	0.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transitional club/AT2	15.0	91.0	65.0	12.0	64.0	0.0	1153.0	56.0	286.0	5929.0	39.0	25.0	11.0	18.0	2.0	75.0	35.0	114.0	421.0	1287.0	0.0	2.0	2.0	5.0	0.0	4.0	14.0	6.0	13.0	7.0	54.0	36.0	64.0	25.0	12.0	20.0	54.0	68.0	67.0	57.0	2.0	5.0	9.0	2.0	89.0	34.0	6.0	190.0	10.0	31.0	67.0	61.0	11.0	18.0	18.0	87.0	26.0	176.0	107.0	240.0	91.0	583.0	21.0	20.0	51.0	73.0	36.0	39.0	29.0	481.0	28.0	193.0	89.0	9.0	959.0	21.0	42.0	16.0	21.0	87.0	25.0	17.0	418.0	42.0	4.0	65.0	12.0	156.0	35.0	143.0	36.0	319.0	723.0	0.0	13.0	2.0	8.0	0.0	35.0	9.0	27.0	12.0	10.0	10.0	0.0	4.0	25.0	27.0	30.0	34.0	17.0
