	BD_immune01	BD_immune02	BD_immune03	BD_immune04	BD_immune05	BD_immune06	BD_immune07	BD_immune08	BD_immune09	BD_immune10	BD_immune11	BD_immune12	BD_immune13	BD_immune14	BD_immune15	Chen_Zhang_2020_NSCLC-10	Chen_Zhang_2020_NSCLC-4	Chen_Zhang_2020_NSCLC-5	Chen_Zhang_2020_NSCLC-8	Chen_Zhang_2020_NSCLC-9	Kim_Lee_2020_BRONCHO_58	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_EBUS_28	Kim_Lee_2020_EBUS_49	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_LUNG_T31	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Lambrechts_Thienpont_2018_6653_scrBT1430m	Lambrechts_Thienpont_2018_6653_scrBT1431m	Lambrechts_Thienpont_2018_6653_scrBT1432m	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S11	Maynard_Bivona_2020_LT_S42	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S74	Maynard_Bivona_2020_LT_S79	Maynard_Bivona_2020_LT_S82	P044	P045	P046	P047	P048	P049	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P12_tumor_primary	UKIM-V-2_P15_tumor_primary	UKIM-V-2_P7_tumor_primary	Wu_Zhou_2021_GSM4453576	Wu_Zhou_2021_GSM4453577	Wu_Zhou_2021_GSM4453578	Wu_Zhou_2021_GSM4453579	Wu_Zhou_2021_GSM4453580	Wu_Zhou_2021_GSM4453581	Wu_Zhou_2021_GSM4453582	Wu_Zhou_2021_GSM4453583	Wu_Zhou_2021_GSM4453584	Wu_Zhou_2021_GSM4453585	Wu_Zhou_2021_GSM4453586	Wu_Zhou_2021_GSM4453587	Wu_Zhou_2021_GSM4453588	Wu_Zhou_2021_GSM4453589	Wu_Zhou_2021_GSM4453590	Wu_Zhou_2021_GSM4453591	Wu_Zhou_2021_GSM4453592	Wu_Zhou_2021_GSM4453593	Wu_Zhou_2021_GSM4453594	Wu_Zhou_2021_GSM4453595	Wu_Zhou_2021_GSM4453596	Wu_Zhou_2021_GSM4453597	Wu_Zhou_2021_GSM4453598	Wu_Zhou_2021_GSM4453599	Wu_Zhou_2021_GSM4453600	Wu_Zhou_2021_GSM4453601	Wu_Zhou_2021_GSM4453602	Wu_Zhou_2021_GSM4453603	Wu_Zhou_2021_GSM4453604	Wu_Zhou_2021_GSM4453605	Wu_Zhou_2021_GSM4453606	Wu_Zhou_2021_GSM4453607	Wu_Zhou_2021_GSM4453608	Wu_Zhou_2021_GSM4453609	Wu_Zhou_2021_GSM4453610	Wu_Zhou_2021_GSM4453611	Wu_Zhou_2021_GSM4453612	Wu_Zhou_2021_GSM4453613	Wu_Zhou_2021_GSM4453614	Wu_Zhou_2021_GSM4453615	Wu_Zhou_2021_GSM4453616	Wu_Zhou_2021_GSM4453617	Zilionis_Klein_2019_p2t1	Zilionis_Klein_2019_p2t2	Zilionis_Klein_2019_p3t1	Zilionis_Klein_2019_p3t2	Zilionis_Klein_2019_p3t3	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p5t2	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	p030t	p033t
Pericyte	9.0	0.0	2.0	2.0	0.0	0.0	54.0	32.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	7.0	36.0	51.0	12.0	4.0	5.0	0.0	21.0	0.0	0.0	0.0	8.0	0.0	24.0	0.0	0.0	25.0	91.0	4.0	20.0	26.0	9.0	42.0	74.0	16.0	10.0	0.0	7.0	0.0	0.0	54.0	0.0	6.0	196.0	0.0	6.0	8.0	0.0	49.0	36.0	3.0	3.0	5.0	2.0	0.0	3.0	21.0	121.0	0.0	0.0	9.0	3.0	2.0	0.0	19.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	8.0	0.0	6.0	0.0	13.0	4.0
Plasma cell	238.0	40.0	1039.0	129.0	263.0	4.0	59.0	700.0	124.0	236.0	7.0	206.0	43.0	81.0	17.0	855.0	239.0	569.0	17.0	46.0	30.0	3.0	0.0	10.0	253.0	251.0	27.0	69.0	12.0	96.0	75.0	77.0	10.0	0.0	10.0	0.0	40.0	0.0	26.0	49.0	0.0	106.0	169.0	70.0	25.0	694.0	121.0	810.0	834.0	205.0	1473.0	222.0	409.0	98.0	2.0	162.0	0.0	5.0	311.0	69.0	44.0	565.0	72.0	132.0	77.0	24.0	50.0	85.0	86.0	28.0	3.0	14.0	16.0	2.0	8.0	78.0	0.0	98.0	52.0	0.0	6.0	3.0	93.0	0.0	0.0	11.0	6.0	0.0	23.0	2.0	3.0	24.0	5.0	155.0	25.0	6.0	55.0	25.0	27.0	71.0	65.0	90.0	80.0	92.0	80.0	93.0	22.0	99.0	472.0
Plasma cell dividing	0.0	0.0	19.0	2.0	4.0	0.0	0.0	0.0	4.0	2.0	0.0	8.0	0.0	0.0	0.0	112.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	33.0	0.0	6.0	10.0	6.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ROS1+ healthy epithelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	9.0	3.0	2.0	3.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	9.0
Smooth muscle cell	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	11.0	0.0	2.0	0.0	7.0	31.0	10.0	6.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	53.0	22.0	6.0	0.0	0.0	3.0	77.0	17.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	5.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	6.0	5.0	0.0	2.0	2.0	0.0	2.0	13.0	11.0
T cell CD4	74.0	1291.0	669.0	1203.0	369.0	482.0	607.0	1531.0	331.0	159.0	543.0	403.0	602.0	1157.0	486.0	2629.0	1314.0	1354.0	1085.0	16.0	277.0	213.0	71.0	254.0	485.0	941.0	373.0	335.0	325.0	238.0	710.0	213.0	268.0	0.0	3.0	14.0	0.0	3.0	62.0	74.0	0.0	46.0	65.0	69.0	57.0	506.0	646.0	2405.0	1045.0	764.0	1875.0	926.0	1314.0	506.0	570.0	0.0	0.0	0.0	10.0	4.0	3.0	101.0	27.0	4.0	3.0	6.0	5.0	28.0	0.0	0.0	0.0	0.0	7.0	17.0	0.0	0.0	59.0	5.0	26.0	0.0	22.0	13.0	21.0	0.0	0.0	0.0	61.0	0.0	0.0	10.0	0.0	3.0	30.0	32.0	159.0	0.0	70.0	25.0	19.0	383.0	472.0	345.0	70.0	315.0	103.0	73.0	161.0	764.0	567.0
T cell CD4 dividing	3.0	6.0	76.0	55.0	20.0	3.0	63.0	45.0	108.0	103.0	11.0	46.0	45.0	16.0	22.0	194.0	23.0	34.0	28.0	12.0	8.0	0.0	7.0	0.0	7.0	14.0	7.0	6.0	3.0	0.0	0.0	5.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	3.0	0.0	9.0	7.0	63.0	39.0	45.0	40.0	42.0	45.0	16.0	17.0	23.0	2.0	13.0	0.0	4.0	78.0	8.0	7.0	50.0	8.0	10.0	8.0	2.0	4.0	4.0	4.0	0.0	0.0	0.0	7.0	0.0	0.0	6.0	5.0	2.0	2.0	0.0	0.0	2.0	3.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	8.0	27.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	24.0	14.0
T cell CD8 activated	45.0	82.0	39.0	84.0	7.0	7.0	18.0	331.0	10.0	26.0	7.0	16.0	10.0	98.0	10.0	168.0	85.0	39.0	19.0	0.0	5.0	2.0	3.0	0.0	25.0	208.0	5.0	4.0	0.0	3.0	3.0	2.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0	0.0	332.0	590.0	1800.0	713.0	191.0	1721.0	16.0	44.0	48.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0	0.0	0.0	3.0	0.0	136.0	108.0	80.0	0.0	27.0	20.0	16.0	45.0	721.0	755.0
T cell CD8 dividing	3.0	0.0	203.0	71.0	40.0	0.0	27.0	7.0	280.0	330.0	10.0	45.0	14.0	19.0	7.0	247.0	16.0	57.0	21.0	0.0	14.0	6.0	5.0	14.0	32.0	28.0	31.0	36.0	12.0	27.0	3.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	3.0	32.0	0.0	0.0	0.0	2.0	4.0	61.0	13.0	17.0	31.0	44.0	6.0	10.0	32.0	47.0	4.0	8.0	0.0	3.0	59.0	0.0	11.0	29.0	0.0	7.0	3.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	20.0	11.0
T cell CD8 effector memory	275.0	756.0	1468.0	1469.0	91.0	830.0	235.0	604.0	540.0	1099.0	470.0	421.0	262.0	897.0	263.0	3099.0	632.0	1516.0	531.0	0.0	255.0	34.0	43.0	40.0	317.0	1063.0	257.0	272.0	204.0	107.0	283.0	176.0	159.0	0.0	3.0	41.0	0.0	0.0	37.0	17.0	0.0	54.0	60.0	145.0	62.0	1667.0	2012.0	3058.0	1512.0	1280.0	2070.0	648.0	803.0	410.0	174.0	0.0	0.0	0.0	20.0	0.0	5.0	245.0	5.0	0.0	7.0	6.0	8.0	5.0	0.0	0.0	0.0	0.0	6.0	9.0	0.0	0.0	65.0	2.0	17.0	0.0	3.0	7.0	7.0	0.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	10.0	15.0	42.0	45.0	0.0	39.0	5.0	0.0	55.0	61.0	46.0	2.0	105.0	30.0	31.0	73.0	463.0	903.0
T cell CD8 naive	13.0	302.0	85.0	403.0	3.0	126.0	0.0	7.0	113.0	10.0	54.0	17.0	23.0	70.0	42.0	75.0	33.0	30.0	11.0	0.0	91.0	93.0	11.0	64.0	42.0	54.0	21.0	64.0	9.0	34.0	53.0	27.0	26.0	0.0	0.0	5.0	0.0	0.0	8.0	10.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	39.0	138.0	82.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	3.0	0.0	21.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	6.0	59.0	0.0
T cell CD8 terminally exhausted	3.0	6.0	1358.0	562.0	59.0	708.0	44.0	0.0	1016.0	1488.0	78.0	166.0	80.0	37.0	16.0	803.0	110.0	881.0	136.0	0.0	217.0	22.0	13.0	18.0	268.0	320.0	320.0	397.0	127.0	151.0	70.0	85.0	41.0	0.0	0.0	3.0	0.0	0.0	4.0	4.0	0.0	5.0	8.0	11.0	5.0	225.0	29.0	81.0	114.0	276.0	183.0	107.0	564.0	209.0	15.0	5.0	0.0	0.0	40.0	0.0	0.0	118.0	0.0	3.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	7.0	2.0	0.0	0.0	0.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	8.0	5.0	4.0	2.0	0.0	39.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	3.0	36.0	17.0
T cell NK-like	90.0	68.0	94.0	479.0	11.0	262.0	0.0	50.0	169.0	30.0	129.0	14.0	75.0	122.0	218.0	188.0	23.0	11.0	63.0	0.0	94.0	81.0	10.0	314.0	71.0	63.0	59.0	57.0	26.0	40.0	29.0	14.0	10.0	0.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0	5.0	13.0	24.0	134.0	86.0	122.0	123.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.0	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	19.0	4.0	21.0	0.0	32.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	11.0	11.0	3.0
T cell regulatory	29.0	348.0	993.0	981.0	158.0	188.0	83.0	568.0	664.0	705.0	98.0	187.0	159.0	272.0	74.0	2064.0	880.0	1410.0	322.0	0.0	321.0	13.0	34.0	13.0	172.0	319.0	150.0	253.0	54.0	92.0	142.0	100.0	216.0	0.0	3.0	3.0	0.0	0.0	5.0	9.0	0.0	16.0	14.0	25.0	20.0	1093.0	802.0	2384.0	1124.0	797.0	1597.0	176.0	615.0	292.0	90.0	4.0	0.0	0.0	41.0	0.0	0.0	151.0	7.0	7.0	12.0	8.0	5.0	28.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	30.0	3.0	5.0	0.0	8.0	7.0	13.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	2.0	12.0	35.0	9.0	0.0	69.0	12.0	11.0	46.0	47.0	34.0	8.0	47.0	35.0	35.0	25.0	366.0	231.0
Tumor LUAD_Club	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	1419.0	0.0	2.0	0.0	3.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0	101.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	825.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0	206.0	0.0	0.0	0.0
Tumor LUAD_EMT1	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5964.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	440.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	2.0
Tumor LUAD_EMT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	525.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_EMT3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_LUSC	0.0	0.0	3.0	6.0	6.0	0.0	26.0	7.0	5.0	7.0	0.0	3.0	0.0	0.0	0.0	20.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	14.0	0.0	0.0	0.0	0.0	0.0	3.0	223.0	3.0	2.0	45.0	12.0	0.0	16.0	3.0	3.0	0.0	3.0	0.0	0.0	564.0	0.0	86.0	60.0	99.0	0.0	8.0	0.0	21.0	0.0	16.0	6.0	2.0	0.0	60.0	2.0	58.0	0.0	19.0	100.0	6.0	8.0	14.0	0.0	81.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	110.0	24.0	99.0
Tumor LUAD_LUSC_mitotic	639.0	0.0	1316.0	0.0	2.0	0.0	4842.0	0.0	286.0	317.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	51.0	3.0	0.0	0.0	5.0	0.0	33.0	4.0	0.0	0.0	7.0	23.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	450.0	0.0	0.0	13.0	0.0	1455.0	38.0	0.0	44.0	10.0	0.0	0.0	39.0	0.0	0.0	0.0	206.0	7.0	3.0	681.0	13.0	64.0	7.0	4.0	0.0	1001.0	0.0	0.0	7.0	15.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	108.0	0.0	0.0	0.0	2.0	17.0	0.0	15.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	7.0
Tumor LUAD_mainly1	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	2.0	0.0	58.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_mainly2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUAD_mitotic	2.0	8.0	2.0	3.0	1431.0	2.0	53.0	2.0	2.0	4.0	0.0	366.0	0.0	0.0	5.0	21.0	24.0	0.0	33.0	1087.0	333.0	3.0	2.0	0.0	360.0	10.0	265.0	345.0	299.0	87.0	8.0	41.0	2.0	0.0	0.0	3.0	3.0	0.0	4.0	57.0	0.0	0.0	5.0	39.0	28.0	13.0	5.0	4.0	13.0	92.0	0.0	726.0	0.0	366.0	0.0	0.0	9.0	0.0	2.0	207.0	13.0	7.0	4.0	1541.0	0.0	4.0	12.0	5.0	0.0	0.0	590.0	0.0	8.0	0.0	38.0	2.0	0.0	0.0	61.0	14.0	4.0	2.0	30.0	0.0	7.0	0.0	3.0	42.0	9.0	8.0	0.0	4.0	76.0	74.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	35.0	56.0	7.0	4.0	30.0	158.0	96.0
Tumor LUAD_mixed	0.0	2.0	5.0	17.0	35.0	3.0	23.0	117.0	0.0	7.0	2.0	16.0	7.0	4.0	65.0	10.0	0.0	2.0	43.0	9.0	0.0	0.0	16.0	0.0	62.0	9.0	35.0	18.0	20.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	85.0	45.0	8.0	5.0	41.0	63.0	31.0	61.0	33.0	13.0	5.0	0.0	0.0	142.0	0.0	172.0	2.0	0.0	121.0	29.0	2.0	69.0	4.0	0.0	0.0	21.0	112.0	0.0	10.0	12.0	0.0	5.0	3.0	73.0	18.0	6.0	2.0	6.0	0.0	4.0	0.0	274.0	0.0	0.0	0.0	71.0	27.0	0.0	13.0	2.0	0.0	57.0	216.0	0.0	0.0	0.0	0.0	2.0	91.0	98.0	112.0	74.0	72.0	6.0	7.0	485.0	181.0	480.0
Tumor LUAD_transitional	35.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	2.0	48.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	121.0	342.0	0.0	0.0	0.0	2343.0	8.0	251.0	19.0	4.0	10.0	27.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	47.0	11.0	0.0	0.0	0.0	0.0	9.0	0.0	6.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	11.0	0.0	0.0	5.0	0.0	0.0	0.0	10.0	0.0	2.0	0.0	11.0	0.0	2.0	37.0	0.0	2.0	0.0	1113.0	0.0	92.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	132.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	3.0	3.0	11.0	0.0	0.0	0.0	4.0	22.0	20.0
Tumor LUSC_LUAD_mitotic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	689.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3179.0	0.0	15.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tumor LUSC_mainly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4430.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
